source,method,cumulative_return,sharpe,max_drawdown,delta_entry_violation_rate,delta_reversal_rate,delta_mean_abs_deviation
x,WO_SOFT,0.0344033635235607,-0.02007268549271901,-0.002813754172892702,0.0,0.0,3.1849357765100124e-05
x,WO_REV_PEN,0.0028420856239739917,0.029037496374559324,-0.011254557582685787,0.0,0.0,0.0004401749814859999
x,WO_ENTRY_PEN,-0.008063235141847605,0.048117223872530146,-0.012193668803736402,0.0,0.0,-0.0007758925785311
x,WO_BC_ANCHOR,-0.0105032539899306,0.012712005677218807,0.005737947072741889,0.0,0.0,4.1681260336199656e-05
x,WO_MKT_FACTORS,-0.024674621173498598,-0.034574563103294986,0.008300276654729821,0.0,0.0,-0.00021771547617390006
x,WO_REGIME_SPLIT,-0.0419634790268642,-0.0647922606734363,0.01806455355452491,0.0,0.0,-0.0001780252205207996
x,WO_RL_COMPLETION,-0.0870498678181496,-0.1777034054636919,0.014872073359887605,0.0,0.0,-0.00695212907198763
x,WO_HARD,-0.0948839599729886,-0.501395438590055,-0.2120640703750657,0.190701625177199,0.2036658102958419,0.0184060363797471
x,WO_FIDELITY,-0.1141436600445822,-0.1835946475415079,0.039250115774372596,0.0,0.0,-0.00011571173090490008
youtube,WO_REV_PEN,0.02619583905424172,0.07096789773187773,-0.002214873021472108,0.0,0.0,0.0030778919579461
youtube,WO_BC_ANCHOR,0.020749991536379797,-0.15289074220295218,-0.004552509678768607,0.0,0.0,0.0023264481686056
youtube,WO_FIDELITY,0.01953977775520821,-0.018730591488613335,-0.002372450859213421,0.0,0.0,0.004572089412249599
youtube,WO_MKT_FACTORS,0.01703986763826809,-0.0837813654039703,0.0006672847572285756,0.0,0.0,0.004601246584206799
youtube,WO_ENTRY_PEN,0.005297272022524224,-0.011338070390336963,-0.0018825976416233237,0.0,0.0,0.0013905313564463988
youtube,WO_REGIME_SPLIT,0.0020180860381961985,-0.0953557459662222,-0.001494510497219298,0.0,0.0,0.0014480771496891993
youtube,WO_SOFT,-0.008315227525204305,-0.16322218704458535,0.00027751699643407957,0.0,0.0,0.0008447514846921002
youtube,WO_RL_COMPLETION,-0.016238385886678086,-0.03963103944419899,-0.004457996963893901,0.0,0.0,-0.0082580362723093
youtube,WO_HARD,-0.1864688419500169,-0.4245511339748065,-0.07927485937317522,0.2587359053743524,0.2351095821112971,0.0274166854098439
