source,method,n_kols,full_better_event_cumulative_return,tie_event_cumulative_return,full_better_event_sharpe,tie_event_sharpe,full_better_event_max_drawdown,tie_event_max_drawdown,full_better_betrayal_entry_violation_rate,tie_betrayal_entry_violation_rate,full_better_betrayal_reversal_rate,tie_betrayal_reversal_rate,full_better_betrayal_mean_abs_deviation,tie_betrayal_mean_abs_deviation
x,WO_BC_ANCHOR,10,7,0,6,0,4,0,0,10,0,10,5,0
x,WO_ENTRY_PEN,10,7,0,7,0,3,0,0,10,0,10,3,0
x,WO_FIDELITY,10,8,0,8,0,6,0,0,10,0,10,4,0
x,WO_HARD,10,5,0,8,0,0,0,10,0,9,1,10,0
x,WO_MKT_FACTORS,10,7,0,6,0,6,0,0,10,0,10,4,0
x,WO_REGIME_SPLIT,10,7,0,7,0,5,0,0,10,0,10,6,0
x,WO_REV_PEN,10,5,0,5,0,4,0,0,10,0,10,6,0
x,WO_RL_COMPLETION,10,8,0,8,0,5,0,0,10,0,10,0,0
x,WO_SOFT,10,6,0,6,0,4,0,0,10,0,10,7,0
youtube,WO_BC_ANCHOR,10,4,0,4,0,3,0,0,10,0,10,7,0
youtube,WO_ENTRY_PEN,10,3,0,5,0,3,1,0,10,0,10,7,0
youtube,WO_FIDELITY,10,3,0,3,0,3,0,0,10,0,10,7,0
youtube,WO_HARD,10,10,0,6,0,1,0,10,0,10,0,10,0
youtube,WO_MKT_FACTORS,10,4,0,4,0,4,0,0,10,0,10,8,0
youtube,WO_REGIME_SPLIT,10,6,0,5,0,4,0,0,10,0,10,8,0
youtube,WO_REV_PEN,10,3,0,2,0,5,0,0,10,0,10,9,0
youtube,WO_RL_COMPLETION,10,8,0,7,0,3,1,0,10,0,10,0,0
youtube,WO_SOFT,10,6,0,7,0,4,0,0,10,0,10,8,0
