method,reversal_rate,entry_violation_rate,mean_abs_deviation,baseline_policy_corr
KICL,0.0,0.0,0.007694155781064182,0.8375103056430817
WO_BC_ANCHOR,0.0,0.0,0.00887822049553506,0.830673098564148
WO_ENTRY_PEN,0.0,0.0,0.008001475170021876,0.8256630927324295
WO_FIDELITY,0.0,0.0,0.009922344621736556,0.8010105103254318
WO_HARD,0.21938769620356952,0.22471876527577575,0.03060551667585969,0.8189930021762848
WO_MKT_FACTORS,0.0,0.0,0.00988592133508064,0.8064358800649643
WO_REV_PEN,0.0,0.0,0.009453189250780269,0.7974596798419953
WO_RL_COMPLETION,0.0,0.0,8.907310891572706e-05,0.9999446988105773
WO_SOFT,0.0,0.0,0.008132456202292814,0.8260656088590622
WO_REGIME_SPLIT,0.0,0.0,0.008329181745648385,0.8335185468196868
