method,n_kols,event_mean_cumulative_return,event_mean_sharpe,event_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown
KICL,20,0.19755624710504552,1.5162850273227706,0.23760177915154493,0.0,0.0,0.007694155781064182,0.5864340916275979,0.781495365161452,0.8375103056430817,0.22917359982166446,0.1714183483724762,0.8564671217962812,0.7530297212853305,0.25330289436298975,0.2584701992753435
WO_BC_ANCHOR,20,0.20267961587827008,1.446195659059904,0.2381944978485316,0.0,0.0,0.00887822049553506,0.6218812644481659,0.7360573186102717,0.830673098564148,0.23134879055948004,0.17131905490408528,0.8485046965066187,0.7516123034914594,0.25134023582162424,0.25824354703668223
WO_ENTRY_PEN,20,0.19617326554538375,1.534674604063867,0.23056364592886508,0.0,0.0,0.008001475170021876,0.5995093062520027,0.7784192138028578,0.8256630927324295,0.22482164495647275,0.17733308797890182,0.8625173796604066,0.722804057598598,0.2410262713540265,0.2520010668881601
WO_FIDELITY,20,0.1502543059603584,1.4151224078077103,0.25604061160912456,0.0,0.0,0.009922344621736556,0.6553978502750397,0.7727542289001588,0.8010105103254318,0.17762214022820824,0.1670239517412945,0.7225335546916172,0.6470907456926909,0.2639511667076138,0.25167692613664083
WO_HARD,20,0.05687984614354276,1.0533117410403399,0.09193231427742453,0.21938769620356952,0.22471876527577575,0.03060551667585969,0.7735190972685814,0.7806123037964305,0.8189930021762848,0.21039797472510044,0.17192572115464314,0.9371758867892437,0.7493146491788019,0.21120382547303246,0.2563180465671507
WO_MKT_FACTORS,20,0.19373887033743023,1.4571070630691383,0.24208555985752414,0.0,0.0,0.00988592133508064,0.6522111356258392,0.7851232178723133,0.8064358800649643,0.22068501529389445,0.16611575097695713,0.7684225517419595,0.6930181818996857,0.24598771919543733,0.2480820292506188
WO_REV_PEN,20,0.2120752094441533,1.5662877243759892,0.23086706384946604,0.0,0.0,0.009453189250780269,0.6485289663076401,0.7685744756317135,0.7974596798419953,0.24987639038895568,0.1838869073713152,1.0208411148972847,0.902977733219951,0.23775275737537638,0.2504736135847126
WO_RL_COMPLETION,20,0.14591212025263164,1.4076178048688255,0.24280881734954168,0.0,0.0,8.907310891572706e-05,0.005598974740132689,1.0,0.9999446988105773,0.1718767352080821,0.17174877157110102,0.7535009360761709,0.7531753866095293,0.2581116383934706,0.25811456625131823
WO_SOFT,20,0.21060031510422367,1.424637591054119,0.23633366056331567,0.0,0.0,0.008132456202292814,0.6084018155932427,0.7671417607288757,0.8260656088590622,0.2371927761625514,0.16602708272023597,0.6929604392096026,0.6582286931568275,0.24939149192333324,0.2567127936531454
WO_REGIME_SPLIT,20,0.17758355061071152,1.436211024002941,0.2458868006801977,0.0,0.0,0.008329181745648385,0.6133415281772614,0.7712673531801431,0.8335185468196868,0.21274158349409716,0.17087639097017196,0.82414562292153,0.7520187269394211,0.26282087211472976,0.25887286702383705
