method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,EliteOptions2_20260320_161843,0.0,0.0,0.01301654800772667,0.5280479192733765,0.9059040590405905,0.6378003358840942
WO_BC_ANCHOR,EliteOptions2_20260321_144810,0.0,0.0,0.01172917615622282,0.48083603382110596,0.9261992619926199,0.6692303419113159
WO_ENTRY_PEN,EliteOptions2_20260321_194032,0.0,0.0,0.011024126783013344,0.4493696093559265,0.9354243542435424,0.6619078516960144
WO_FIDELITY,EliteOptions2_20260321_162814,0.0,0.0,0.011755779385566711,0.4798104166984558,0.9317343173431735,0.6455112099647522
WO_HARD,EliteOptions2_20260321_003328,0.09317343173431734,0.1408245165997811,0.025755349546670914,0.5251541137695312,0.9068265682656826,0.6617835164070129
WO_MKT_FACTORS,EliteOptions2_20260321_211641,0.0,0.0,0.012357465922832489,0.5022568702697754,0.9040590405904059,0.6400517225265503
WO_REV_PEN,EliteOptions2_20260321_180404,0.0,0.0,0.011942094191908836,0.48763328790664673,0.9215867158671587,0.6666905283927917
WO_RL_COMPLETION,EliteOptions2_20260321_162411,0.0,0.0,2.960155688924715e-05,0.001312631880864501,1.0,0.9999821186065674
WO_SOFT,EliteOptions2_20260321_131414,0.0,0.0,0.012280096299946308,0.498101145029068,0.9206642066420664,0.653933048248291
WO_REGIME_SPLIT,EliteOptions2_20260321_225234,0.0,0.0,0.010330267250537872,0.42295101284980774,0.9501845018450185,0.6774737238883972
