method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,GoldTelegraph__20260320_161844,0.0,0.0,0.005410917568951845,0.3097479045391083,0.985981308411215,0.9484025239944458
WO_BC_ANCHOR,GoldTelegraph__20260321_144811,0.0,0.0,0.005752077326178551,0.32977262139320374,0.9813084112149533,0.9453744888305664
WO_ENTRY_PEN,GoldTelegraph__20260321_194032,0.0,0.0,0.005591483786702156,0.32147422432899475,0.9813084112149533,0.9439548254013062
WO_FIDELITY,GoldTelegraph__20260321_162813,0.0,0.0,0.005961369723081589,0.33853113651275635,0.9813084112149533,0.9525412321090698
WO_HARD,GoldTelegraph__20260321_003327,0.018691588785046728,0.22854324235448867,0.0324416309595108,0.33282917737960815,0.9813084112149533,0.9533515572547913
WO_MKT_FACTORS,GoldTelegraph__20260321_211640,0.0,0.0,0.005676413886249065,0.3246697187423706,0.9813084112149533,0.9512082934379578
WO_REV_PEN,GoldTelegraph__20260321_180404,0.0,0.0,0.005646505393087864,0.32484278082847595,0.9813084112149533,0.9479789733886719
WO_RL_COMPLETION,GoldTelegraph__20260321_162411,0.0,0.0,1.4592542356695049e-05,0.0008678302401676774,1.0,0.9999952912330627
WO_SOFT,GoldTelegraph__20260321_131414,0.0,0.0,0.005824776832014322,0.3307358920574188,0.985981308411215,0.9423996806144714
WO_REGIME_SPLIT,GoldTelegraph__20260321_225233,0.0,0.0,0.00580120924860239,0.3308221697807312,0.9813084112149533,0.9487959146499634
