method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Jake__Wujastyk_20260320_161843,0.0,0.0,0.0038112225010991096,0.674731433391571,0.6705128205128205,0.8512606620788574
WO_BC_ANCHOR,Jake__Wujastyk_20260321_144810,0.0,0.0,0.003708819393068552,0.6600291132926941,0.6538461538461539,0.8537642359733582
WO_ENTRY_PEN,Jake__Wujastyk_20260321_194032,0.0,0.0,0.003787033958360553,0.6720144152641296,0.6653846153846154,0.8726270198822021
WO_FIDELITY,Jake__Wujastyk_20260321_162814,0.0,0.0,0.003507552668452263,0.6352975368499756,0.7076923076923077,0.8829289674758911
WO_HARD,Jake__Wujastyk_20260321_003328,0.3423076923076923,0.08045643554781937,0.010673629119992256,0.9549295902252197,0.6576923076923077,0.8558530211448669
WO_MKT_FACTORS,Jake__Wujastyk_20260321_211641,0.0,0.0,0.0033570604864507914,0.6024452447891235,0.7128205128205128,0.8633378148078918
WO_REV_PEN,Jake__Wujastyk_20260321_180404,0.0,0.0,0.0038487447891384363,0.6878174543380737,0.6397435897435897,0.8562873601913452
WO_RL_COMPLETION,Jake__Wujastyk_20260321_162411,0.0,0.0,1.5317760698962957e-05,0.0030436785891652107,1.0,0.9999905228614807
WO_SOFT,Jake__Wujastyk_20260321_131414,0.0,0.0,0.0038386923260986805,0.6733235120773315,0.6461538461538462,0.8426530957221985
WO_REGIME_SPLIT,Jake__Wujastyk_20260321_225234,0.0,0.0,0.004003239329904318,0.6958693265914917,0.6230769230769231,0.8655110001564026
