method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Mr_Derivatives_20260320_161844,0.0,0.0,0.0037839924916625023,0.7600259780883789,0.5957104557640751,0.749220609664917
WO_BC_ANCHOR,Mr_Derivatives_20260321_144810,0.0,0.0,0.003425102448090911,0.6996256113052368,0.6879356568364611,0.7785657644271851
WO_ENTRY_PEN,Mr_Derivatives_20260321_194032,0.0,0.0,0.0037566262762993574,0.7536032199859619,0.5967828418230563,0.7758344411849976
WO_FIDELITY,Mr_Derivatives_20260321_162814,0.0,0.0,0.0036131602246314287,0.7358319759368896,0.6584450402144773,0.798394501209259
WO_HARD,Mr_Derivatives_20260321_003328,0.35013404825737265,0.05419513049570853,0.008024896495044231,0.9415791034698486,0.6498659517426274,0.7723504900932312
WO_MKT_FACTORS,Mr_Derivatives_20260321_211640,0.0,0.0,0.0032572250347584486,0.6733251810073853,0.7072386058981234,0.7896101474761963
WO_REV_PEN,Mr_Derivatives_20260321_180404,0.0,0.0,0.003518907120451331,0.7165202498435974,0.6584450402144773,0.7798784971237183
WO_RL_COMPLETION,Mr_Derivatives_20260321_162411,0.0,0.0,4.341009116615169e-06,0.0010527166305109859,1.0,0.9999982118606567
WO_SOFT,Mr_Derivatives_20260321_131414,0.0,0.0,0.0036331380251795053,0.7336689829826355,0.6230563002680966,0.7559791803359985
WO_REGIME_SPLIT,Mr_Derivatives_20260321_225233,0.0,0.0,0.0037182867527008057,0.74965900182724,0.6144772117962467,0.7664921879768372
