method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Mr_Derivatives_20260320_161844,-0.10827731385325245,-0.11641987772988482,-0.22581237749639088,-0.26138959311347465,0.3049467893626475,0.29381705850389866
WO_BC_ANCHOR,Mr_Derivatives_20260321_144810,-0.1307970676643333,-0.1084428621436323,-0.2636209179309228,-0.22982566633391135,0.3378809597911283,0.2874415956313457
WO_ENTRY_PEN,Mr_Derivatives_20260321_194032,0.02275033387019909,-0.1343498823644399,0.2419958736965149,-0.9458058762178746,0.1445437932427485,0.19894892112405907
WO_FIDELITY,Mr_Derivatives_20260321_162814,-0.09450218804170996,-0.12861056850509844,-0.8127165123282667,-1.31458757969001,0.16354101657152406,0.15766489322868385
WO_HARD,Mr_Derivatives_20260321_003328,0.19443778806260004,-0.1084428621436323,0.908860910962007,-0.22982566633391135,0.187251756191937,0.2874415956313457
WO_MKT_FACTORS,Mr_Derivatives_20260321_211640,-0.16306646526727464,-0.10749380061325797,-0.9096677743300515,-0.6307114415244194,0.20563532631047887,0.15108826326612687
WO_REV_PEN,Mr_Derivatives_20260321_180404,-0.0011530964306220026,-0.1084428621436323,0.1815841977650734,-0.22982566633391135,0.24154292187393425,0.2874415956313457
WO_RL_COMPLETION,Mr_Derivatives_20260321_162411,-0.10884061857547633,-0.1084428621436323,-0.23137449807975866,-0.22982566633391135,0.2874931163523901,0.2874415956313457
WO_SOFT,Mr_Derivatives_20260321_131414,-0.2676649107612963,-0.11268692926783674,-1.7493358571946056,-0.7257788035546193,0.2898170143532194,0.22100580596637398
WO_REGIME_SPLIT,Mr_Derivatives_20260321_225233,-0.11546246449728548,-0.10961958441534592,-0.236619205547888,-0.23644591075867158,0.2805380347763331,0.2850633822269069
