method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Stephanie_Link_20260320_161843,0.0,0.0,0.00426874216645956,0.6905024647712708,0.7577197149643705,0.8895744681358337
WO_BC_ANCHOR,Stephanie_Link_20260321_144810,0.0,0.0,0.0046202014200389385,0.7376505732536316,0.7054631828978623,0.8354891538619995
WO_ENTRY_PEN,Stephanie_Link_20260321_194032,0.0,0.0,0.004199739545583725,0.6839521527290344,0.7624703087885986,0.8714671730995178
WO_FIDELITY,Stephanie_Link_20260321_162814,0.0,0.0,0.00448679318651557,0.7188939452171326,0.7315914489311164,0.8530322313308716
WO_HARD,Stephanie_Link_20260321_003327,0.24703087885985747,0.09112843355605048,0.014026175253093243,0.8380664587020874,0.7529691211401425,0.8426392078399658
WO_MKT_FACTORS,Stephanie_Link_20260321_211641,0.0,0.0,0.004405833315104246,0.7154083847999573,0.7529691211401425,0.876517653465271
WO_REV_PEN,Stephanie_Link_20260321_180404,0.0,0.0,0.004500251729041338,0.7194204926490784,0.7244655581947743,0.8450924158096313
WO_RL_COMPLETION,Stephanie_Link_20260321_162412,0.0,0.0,6.749558451701887e-06,0.001206134562380612,1.0,0.9999958872795105
WO_SOFT,Stephanie_Link_20260321_131414,0.0,0.0,0.004591951612383127,0.7359891533851624,0.7125890736342043,0.8554745316505432
WO_REGIME_SPLIT,Stephanie_Link_20260321_225233,0.0,0.0,0.004566608462482691,0.7271741628646851,0.7125890736342043,0.8203948140144348
