method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Stocktwits_20260320_161844,0.0,0.0,0.002476762980222702,0.7223945260047913,0.6189047261815454,0.7993995547294617
WO_BC_ANCHOR,Stocktwits_20260321_144810,0.0,0.0,0.0024884792510420084,0.7233344912528992,0.6069017254313578,0.8100703358650208
WO_ENTRY_PEN,Stocktwits_20260321_194032,0.0,0.0,0.0026487300638109446,0.7604029774665833,0.5566391597899475,0.837478756904602
WO_FIDELITY,Stocktwits_20260321_162814,0.0,0.0,0.00246624369174242,0.7149952054023743,0.6001500375093773,0.824148416519165
WO_HARD,Stocktwits_20260321_003327,0.32558139534883723,0.04272643572332835,0.00637653237208724,0.9629806280136108,0.6744186046511628,0.8487376570701599
WO_MKT_FACTORS,Stocktwits_20260321_211641,0.0,0.0,0.0023435945622622967,0.6859339475631714,0.6631657914478619,0.8422480821609497
WO_REV_PEN,Stocktwits_20260321_180404,0.0,0.0,0.002557281404733658,0.7391538023948669,0.5881470367591898,0.8391292691230774
WO_RL_COMPLETION,Stocktwits_20260321_162411,0.0,0.0,2.2485955923912115e-06,0.0008382046944461763,1.0,0.9999997615814209
WO_SOFT,Stocktwits_20260321_131414,0.0,0.0,0.002638694364577532,0.7538132071495056,0.5536384096024006,0.8191248178482056
WO_REGIME_SPLIT,Stocktwits_20260321_225234,0.0,0.0,0.0026494800113141537,0.7568099498748779,0.5573893473368342,0.8237901926040649
