method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Stocktwits_20260320_161844,0.36864758500482675,-0.146241636878926,0.9281775427410487,-0.10479539276047047,0.29424071511738004,0.45824812894081574
WO_BC_ANCHOR,Stocktwits_20260321_144810,0.2495180706904636,-0.1528965952500021,0.7498460644871173,-0.12808099574142756,0.4197690822219372,0.4592471074841132
WO_ENTRY_PEN,Stocktwits_20260321_194032,0.12811120381568508,-0.146241636878926,0.5710333965985184,-0.10479539276047047,0.37360622142125194,0.45824812894081574
WO_FIDELITY,Stocktwits_20260321_162814,-0.5260333724460555,-0.146241636878926,-0.35496733343755016,-0.10479539276047047,0.7084743069087741,0.45824812894081574
WO_HARD,Stocktwits_20260321_003327,0.01170941496949407,-0.146241636878926,0.24154385374343018,-0.10479539276047047,0.2700467320400508,0.45824812894081574
WO_MKT_FACTORS,Stocktwits_20260321_211641,0.10898901127533556,-0.146241636878926,0.5287348279408937,-0.10479539276047047,0.3555151563513077,0.45824812894081574
WO_REV_PEN,Stocktwits_20260321_180404,0.3680479286387204,-0.146241636878926,0.9239240768064502,-0.10479539276047047,0.28543992589768097,0.45824812894081574
WO_RL_COMPLETION,Stocktwits_20260321_162411,-0.14620251362249637,-0.146241636878926,-0.10466448211491672,-0.10479539276047047,0.45821740880073303,0.45824812894081574
WO_SOFT,Stocktwits_20260321_131414,1.1618845933298845,-0.146241636878926,1.7783313612485727,-0.10479539276047047,0.22298480452594102,0.45824812894081574
WO_REGIME_SPLIT,Stocktwits_20260321_225234,0.12613238883938127,-0.146241636878926,0.6486420820151311,-0.10479539276047047,0.5343186687539166,0.45824812894081574
