method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,goldseek_20260320_161843,0.0,0.0,0.008245028555393219,0.4841914772987366,0.9143730886850153,0.8073610067367554
WO_BC_ANCHOR,goldseek_20260321_144810,0.0,0.0,0.006322559434920549,0.3769242763519287,0.9510703363914373,0.8026547431945801
WO_ENTRY_PEN,goldseek_20260321_194032,0.0,0.0,0.006937501486390829,0.41011136770248413,0.9541284403669725,0.822554886341095
WO_FIDELITY,goldseek_20260321_162814,0.0,0.0,0.00746860820800066,0.43966931104660034,0.9235474006116208,0.8001521825790405
WO_HARD,goldseek_20260321_003328,0.045871559633027525,0.21521197007481296,0.03164113312959671,0.4368653893470764,0.9541284403669725,0.8208528757095337
WO_MKT_FACTORS,goldseek_20260321_211641,0.0,0.0,0.006921762600541115,0.4075619876384735,0.9418960244648318,0.7894869446754456
WO_REV_PEN,goldseek_20260321_180405,0.0,0.0,0.007319674827158451,0.42896565794944763,0.9418960244648318,0.8013143539428711
WO_RL_COMPLETION,goldseek_20260321_162412,0.0,0.0,8.052105840761214e-06,0.00047326594358310103,1.0,0.9999988079071045
WO_SOFT,goldseek_20260321_131414,0.0,0.0,0.007514640688896179,0.44084227085113525,0.9480122324159022,0.8078820705413818
WO_REGIME_SPLIT,goldseek_20260321_225235,0.0,0.0,0.007189921103417873,0.42141222953796387,0.9541284403669725,0.8232873678207397
