method,run_name,cumulative_return,sharpe,max_drawdown
KICL,intocryptoverse_20260320_161843,-0.14438491910502016,-0.24957787915123766,0.39873400200238485
WO_BC_ANCHOR,intocryptoverse_20260321_144810,-0.14758905789208998,-0.2632036846971458,0.40098564497203293
WO_ENTRY_PEN,intocryptoverse_20260321_194032,-0.16254286639676008,-0.32621521711481555,0.41149412791443296
WO_FIDELITY,intocryptoverse_20260321_162814,-0.15140283599464122,-0.27936885913021936,0.4036656994962194
WO_HARD,intocryptoverse_20260321_003328,-0.05867099557745503,-0.6337044904346347,0.14305092582440052
WO_MKT_FACTORS,intocryptoverse_20260321_211641,-0.16108783882517974,-0.32013050265005066,0.41047163706122325
WO_REV_PEN,intocryptoverse_20260321_180404,-0.14406560719599248,-0.24821786494626485,0.3985096120920638
WO_RL_COMPLETION,intocryptoverse_20260321_162411,-0.16254286639676008,-0.32621521711481555,0.41149412791443296
WO_SOFT,intocryptoverse_20260321_131414,-0.14406560719599248,-0.24821786494626485,0.3985096120920638
WO_REGIME_SPLIT,intocryptoverse_20260321_225233,-0.1467797751527593,-0.25976588327822664,0.40041693808648077
