method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,traderstewie_20260316_085513,0.0,0.0,0.004514881409704685,0.6882548928260803,0.7485380116959064,0.9143127799034119
WO_BC_ANCHOR,traderstewie_20260321_144811,0.0,0.0,0.004688055720180273,0.7077018022537231,0.7368421052631579,0.8921900987625122
WO_ENTRY_PEN,traderstewie_20260321_194032,0.0,0.0,0.004606135189533234,0.7000088095664978,0.7426900584795322,0.8975582122802734
WO_FIDELITY,traderstewie_20260321_162814,0.0,0.0,0.004557333886623383,0.6947457194328308,0.7426900584795322,0.8880490660667419
WO_HARD,traderstewie_20260321_011541,0.26900584795321636,0.1396890717878372,0.020080914720892906,0.9089152216911316,0.7309941520467836,0.9086267352104187
WO_MKT_FACTORS,traderstewie_20260321_211641,0.0,0.0,0.004681025631725788,0.7077480554580688,0.7368421052631579,0.893842339515686
WO_REV_PEN,traderstewie_20260321_180404,0.0,0.0,0.004406311549246311,0.6797163486480713,0.7368421052631579,0.906463623046875
WO_RL_COMPLETION,traderstewie_20260321_162411,0.0,0.0,0.00011446337157394737,0.034861549735069275,1.0,0.9999820590019226
WO_SOFT,traderstewie_20260321_131414,0.0,0.0,0.004591614007949829,0.6979144215583801,0.7426900584795322,0.8774257898330688
WO_REGIME_SPLIT,traderstewie_20260321_225234,0.0,0.0,0.00462182704359293,0.7015299797058105,0.7309941520467836,0.8871505260467529
