method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Ale_s_World_of_Stocks_20260316_014416,0.0,0.0,0.005526058375835419,0.7091581225395203,0.6494522691705791,0.7825702428817749
WO_BC_ANCHOR,Ale_s_World_of_Stocks_20260321_144810,0.0,0.0,0.005632394924759865,0.7156378030776978,0.6557120500782473,0.7802600264549255
WO_ENTRY_PEN,Ale_s_World_of_Stocks_20260321_194032,0.0,0.0,0.005753805860877037,0.720745325088501,0.651017214397496,0.7708200812339783
WO_FIDELITY,Ale_s_World_of_Stocks_20260321_162814,0.0,0.0,0.005750959739089012,0.7263614535331726,0.651017214397496,0.7786872386932373
WO_HARD,Ale_s_World_of_Stocks_20260321_011643,0.3427230046948357,0.10486344384401927,0.014092558063566685,0.9701510667800903,0.6572769953051644,0.7669200301170349
WO_MKT_FACTORS,Ale_s_World_of_Stocks_20260321_211641,0.0,0.0,0.005527131259441376,0.7098991274833679,0.6744913928012519,0.8003080487251282
WO_REV_PEN,Ale_s_World_of_Stocks_20260321_180404,0.0,0.0,0.005641619674861431,0.7198508977890015,0.647887323943662,0.8146708011627197
WO_RL_COMPLETION,Ale_s_World_of_Stocks_20260321_162412,0.0,0.0,1.3498231055564247e-05,0.002579393796622753,1.0,0.999995768070221
WO_SOFT,Ale_s_World_of_Stocks_20260321_131414,0.0,0.0,0.005630615167319775,0.715820848941803,0.6838810641627543,0.7672048211097717
WO_REGIME_SPLIT,Ale_s_World_of_Stocks_20260321_225233,0.0,0.0,0.005543725565075874,0.7147429585456848,0.6494522691705791,0.7944895625114441
