method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Daniel_Pronk_20260316_014417,0.0,0.0,0.012674759142100811,0.4867931604385376,0.8672985781990521,0.8269323706626892
WO_BC_ANCHOR,Daniel_Pronk_20260321_144810,0.0,0.0,0.016649164259433746,0.6173693537712097,0.7772511848341233,0.7728409767150879
WO_ENTRY_PEN,Daniel_Pronk_20260321_194032,0.0,0.0,0.01301219966262579,0.493369996547699,0.8483412322274881,0.7490831613540649
WO_FIDELITY,Daniel_Pronk_20260321_162814,0.0,0.0,0.016692617908120155,0.5997365713119507,0.7725118483412322,0.6976725459098816
WO_HARD,Daniel_Pronk_20260321_011710,0.15639810426540285,0.25317919075144507,0.038475289940834045,0.6491766571998596,0.8436018957345972,0.7002569437026978
WO_MKT_FACTORS,Daniel_Pronk_20260321_211641,0.0,0.0,0.014957495033740997,0.5528156161308289,0.8056872037914692,0.7529076933860779
WO_REV_PEN,Daniel_Pronk_20260321_180405,0.0,0.0,0.017765114083886147,0.6516799330711365,0.7914691943127962,0.7869735956192017
WO_RL_COMPLETION,Daniel_Pronk_20260321_162411,0.0,0.0,0.00010893901344388723,0.005379656329751015,1.0,0.9999298453330994
WO_SOFT,Daniel_Pronk_20260321_131414,0.0,0.0,0.013845736160874367,0.5184537172317505,0.8483412322274881,0.716898500919342
WO_REGIME_SPLIT,Daniel_Pronk_20260321_225234,0.0,0.0,0.01679173856973648,0.6203215718269348,0.7962085308056872,0.7893439531326294
