method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Financial_Education_20260316_014416,0.0,0.0,0.009869353845715523,0.66391521692276,0.7024390243902439,0.768522322177887
WO_BC_ANCHOR,Financial_Education_20260321_144811,0.0,0.0,0.010777772404253483,0.7211195826530457,0.6195121951219512,0.7822425365447998
WO_ENTRY_PEN,Financial_Education_20260321_194032,0.0,0.0,0.009147549979388714,0.6214932203292847,0.7268292682926829,0.7774474620819092
WO_FIDELITY,Financial_Education_20260321_162814,0.0,0.0,0.010841814801096916,0.722213089466095,0.6317073170731707,0.7880377173423767
WO_HARD,Financial_Education_20260321_011905,0.2707317073170732,0.14100486223662884,0.019306480884552002,0.8601746559143066,0.7292682926829268,0.8018913865089417
WO_MKT_FACTORS,Financial_Education_20260321_211641,0.0,0.0,0.009763951413333416,0.6664255261421204,0.7048780487804878,0.800948977470398
WO_REV_PEN,Financial_Education_20260321_180404,0.0,0.0,0.010491155087947845,0.6995284557342529,0.6341463414634146,0.7889429330825806
WO_RL_COMPLETION,Financial_Education_20260321_162411,0.0,0.0,5.4749787523178384e-05,0.004620654508471489,1.0,0.9999569654464722
WO_SOFT,Financial_Education_20260321_032257,0.0,0.0,0.010706846602261066,0.713949978351593,0.6390243902439025,0.8120489716529846
WO_REGIME_SPLIT,Financial_Education_20260321_225234,0.0,0.0,0.008906584233045578,0.609977662563324,0.7439024390243902,0.7455993294715881
