method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Humbled_Trader_20260316_014416,0.0,0.0,0.012321625836193562,0.33024224638938904,0.9583333333333334,0.9213789105415344
WO_BC_ANCHOR,Humbled_Trader_20260321_144810,0.0,0.0,0.01533475611358881,0.43610522150993347,0.9583333333333334,0.9632176756858826
WO_ENTRY_PEN,Humbled_Trader_20260321_194033,0.0,0.0,0.021968916058540344,0.6541348695755005,0.9583333333333334,0.6221157908439636
WO_FIDELITY,Humbled_Trader_20260321_162814,0.0,0.0,0.047492191195487976,1.3690141439437866,0.9583333333333334,0.2673649787902832
WO_HARD,Humbled_Trader_20260321_012045,0.3333333333333333,0.8230088495575221,0.12630155682563782,1.2215884923934937,0.6666666666666666,0.6659309267997742
WO_MKT_FACTORS,Humbled_Trader_20260321_211641,0.0,0.0,0.048875872045755386,1.4213976860046387,1.0,0.24509787559509277
WO_REV_PEN,Humbled_Trader_20260321_180404,0.0,0.0,0.03150569647550583,0.9253343939781189,0.9583333333333334,0.46711403131484985
WO_RL_COMPLETION,Humbled_Trader_20260321_162411,0.0,0.0,0.0008117022225633264,0.021743252873420715,1.0,0.9996276497840881
WO_SOFT,Humbled_Trader_20260321_032433,0.0,0.0,0.011554617434740067,0.3080216348171234,1.0,0.9585451483726501
WO_REGIME_SPLIT,Humbled_Trader_20260321_225234,0.0,0.0,0.016751669347286224,0.4414261281490326,0.9583333333333334,0.9514315724372864
