method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Invest_with_Henry_20260316_014417,0.0,0.0,0.012792310677468777,0.5260323286056519,0.8370786516853933,0.8698498010635376
WO_BC_ANCHOR,Invest_with_Henry_20260321_144810,0.0,0.0,0.012038650922477245,0.48987874388694763,0.8764044943820225,0.8693340420722961
WO_ENTRY_PEN,Invest_with_Henry_20260321_194032,0.0,0.0,0.013394768349826336,0.5447801351547241,0.8370786516853933,0.8668310046195984
WO_FIDELITY,Invest_with_Henry_20260321_162814,0.0,0.0,0.012119844555854797,0.49510669708251953,0.8651685393258427,0.874796986579895
WO_HARD,Invest_with_Henry_20260321_012118,0.14887640449438203,0.1987704918032787,0.03037910722196102,0.6726483106613159,0.851123595505618,0.8576467633247375
WO_MKT_FACTORS,Invest_with_Henry_20260321_211641,0.0,0.0,0.013119567185640335,0.5375338792800903,0.8735955056179775,0.866645097732544
WO_REV_PEN,Invest_with_Henry_20260321_180404,0.0,0.0,0.01405653078109026,0.5689924359321594,0.8595505617977528,0.8902416229248047
WO_RL_COMPLETION,Invest_with_Henry_20260321_162412,0.0,0.0,4.282559166313149e-05,0.0019938733894377947,1.0,0.9999914169311523
WO_SOFT,Invest_with_Henry_20260321_032516,0.0,0.0,0.014203528873622417,0.5659332871437073,0.8398876404494382,0.8310180902481079
WO_REGIME_SPLIT,Invest_with_Henry_20260321_225234,0.0,0.0,0.013729631900787354,0.5550749897956848,0.8258426966292135,0.8458022475242615
