method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Invest_with_Henry_20260316_014417,0.37019070433208556,3.3238478470524604,0.09243052795418856
WO_BC_ANCHOR,Invest_with_Henry_20260321_144810,0.3562132215104017,3.1414570547745195,0.0908650984400456
WO_ENTRY_PEN,Invest_with_Henry_20260321_194032,0.37561208298377946,3.2381654911606303,0.07896155419818174
WO_FIDELITY,Invest_with_Henry_20260321_162814,0.38922737482724545,3.3264302428029286,0.09048352043541773
WO_HARD,Invest_with_Henry_20260321_012118,0.2585618509771037,3.613107096758766,0.10089652189618648
WO_MKT_FACTORS,Invest_with_Henry_20260321_211641,0.4183528130736174,3.4575118695670315,0.07958111013140781
WO_REV_PEN,Invest_with_Henry_20260321_180404,0.407867023771745,3.345854780290492,0.08285237790436094
WO_RL_COMPLETION,Invest_with_Henry_20260321_162412,0.3599887546638587,3.1759148854076806,0.07896155418498253
WO_SOFT,Invest_with_Henry_20260321_032516,0.2779129261591633,2.597013725490893,0.11216597230559654
WO_REGIME_SPLIT,Invest_with_Henry_20260321_225234,0.4584390427537903,3.5038730088646046,0.0842257897471563
