method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Investing_with_Tom_20260316_014417,0.0,0.0,0.00940628256648779,0.4906925857067108,0.8461538461538461,0.8387859463691711
WO_BC_ANCHOR,Investing_with_Tom_20260321_144811,0.0,0.0,0.02475864626467228,0.9999998807907104,0.0,
WO_ENTRY_PEN,Investing_with_Tom_20260321_194032,0.0,0.0,0.013109727762639523,0.6263189315795898,0.7435897435897436,0.8656156063079834
WO_FIDELITY,Investing_with_Tom_20260321_162814,0.0,0.0,0.013685762882232666,0.6543711423873901,0.717948717948718,0.8476537466049194
WO_HARD,Investing_with_Tom_20260321_012114,0.2564102564102564,0.357429718875502,0.04452254995703697,0.7912743091583252,0.7435897435897436,0.8648638129234314
WO_MKT_FACTORS,Investing_with_Tom_20260321_211640,0.0,0.0,0.014210439287126064,0.6765055656433105,0.717948717948718,0.8583621382713318
WO_REV_PEN,Investing_with_Tom_20260321_180404,0.0,0.0,0.011726976372301579,0.6569494605064392,0.8333333333333334,0.5207259654998779
WO_RL_COMPLETION,Investing_with_Tom_20260321_162411,0.0,0.0,0.00015767599688842893,0.008790265768766403,1.0,0.9995704889297485
WO_SOFT,Investing_with_Tom_20260321_032511,0.0,0.0,0.013301803730428219,0.6311574578285217,0.7435897435897436,0.8315396308898926
WO_REGIME_SPLIT,Investing_with_Tom_20260321_225235,0.0,0.0,0.01270254049450159,0.6266124844551086,0.7948717948717948,0.7740396857261658
