method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,The_Maverick_of_Wall_Street_20260316_014416,0.0,0.0,0.0030741216614842415,0.7263814210891724,0.5942028985507246,0.8308890461921692
WO_BC_ANCHOR,The_Maverick_of_Wall_Street_20260321_144811,0.0,0.0,0.0029248869977891445,0.6942648887634277,0.6376811594202898,0.832179844379425
WO_ENTRY_PEN,The_Maverick_of_Wall_Street_20260321_194032,0.0,0.0,0.003044935641810298,0.7267025113105774,0.615036231884058,0.8671771287918091
WO_FIDELITY,The_Maverick_of_Wall_Street_20260321_162814,0.0,0.0,0.0029758166056126356,0.7144997715950012,0.6231884057971014,0.8457628488540649
WO_HARD,The_Maverick_of_Wall_Street_20260321_015907,0.38405797101449274,0.05131370128725093,0.006377545651048422,1.048523187637329,0.6159420289855072,0.8280089497566223
WO_MKT_FACTORS,The_Maverick_of_Wall_Street_20260321_211641,0.0,0.0,0.003157611470669508,0.7503196597099304,0.582427536231884,0.8467121124267578
WO_REV_PEN,The_Maverick_of_Wall_Street_20260321_180404,0.0,0.0,0.0028352539520710707,0.6898738741874695,0.654891304347826,0.8485520482063293
WO_RL_COMPLETION,The_Maverick_of_Wall_Street_20260321_162411,0.0,0.0,2.1649981135851704e-05,0.006433369591832161,1.0,0.99996018409729
WO_SOFT,The_Maverick_of_Wall_Street_20260322_131142,0.0,0.0,0.0030797095969319344,0.7262924313545227,0.605072463768116,0.8428981900215149
WO_REGIME_SPLIT,The_Maverick_of_Wall_Street_20260321_225234,0.0,0.0,0.002903501968830824,0.6966586112976074,0.6431159420289855,0.8359851241111755
