method,run_name,reversal_rate,entry_violation_rate,mean_abs_deviation,mean_normalized_deviation,sign_agreement_rate,baseline_policy_corr
KICL,Unrivaled_Investing_20260316_014416,0.0,0.0,0.0056144739501178265,0.4939066469669342,0.9830508474576272,0.9642590880393982
WO_BC_ANCHOR,Unrivaled_Investing_20260321_144810,0.0,0.0,0.006720368284732103,0.5870401859283447,0.8983050847457628,0.9441002011299133
WO_ENTRY_PEN,Unrivaled_Investing_20260321_194032,0.0,0.0,0.00566455814987421,0.4705832004547119,0.9322033898305084,0.8883060216903687
WO_FIDELITY,Unrivaled_Investing_20260321_162815,0.0,0.0,0.007140590809285641,0.6233116984367371,0.9152542372881356,0.959422767162323
WO_HARD,Unrivaled_Investing_20260321_020231,0.05084745762711865,0.28771228771228774,0.03270019590854645,0.5500975251197815,0.9491525423728814,0.9652761220932007
WO_MKT_FACTORS,Unrivaled_Investing_20260321_211642,0.0,0.0,0.006960319355130196,0.6057359576225281,0.9661016949152542,0.9511772394180298
WO_REV_PEN,Unrivaled_Investing_20260321_180404,0.0,0.0,0.007104132324457169,0.6235975623130798,0.9152542372881356,0.9673126935958862
WO_RL_COMPLETION,Unrivaled_Investing_20260321_162411,0.0,0.0,2.6776127924676985e-05,0.0025400558952242136,1.0,0.9999860525131226
WO_SOFT,Unrivaled_Investing_20260322_131142,0.0,0.0,0.007393296342343092,0.654299795627594,0.864406779661017,0.9664229154586792
WO_REGIME_SPLIT,Unrivaled_Investing_20260321_225234,0.0,0.0,0.007436363026499748,0.6519762277603149,0.9152542372881356,0.9700921773910522
