method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Unrivaled_Investing_20260316_014416,0.04011248384097943,0.7072697136658429,0.20500175978773255
WO_BC_ANCHOR,Unrivaled_Investing_20260321_144810,0.036351958213914015,0.6748808191746712,0.20592345325056685
WO_ENTRY_PEN,Unrivaled_Investing_20260321_194032,0.046356100755291285,0.7607299308172101,0.21246962007447726
WO_FIDELITY,Unrivaled_Investing_20260321_162815,0.031913771656160606,0.6367387623440717,0.20701702582277443
WO_HARD,Unrivaled_Investing_20260321_020231,-0.02038244463775285,-0.4666448819183201,0.037516578928462135
WO_MKT_FACTORS,Unrivaled_Investing_20260321_211642,0.04650465527833325,0.760614737593573,0.2069968118625602
WO_REV_PEN,Unrivaled_Investing_20260321_180404,0.04517643736616117,0.7494751950547615,0.2053273273539642
WO_RL_COMPLETION,Unrivaled_Investing_20260321_162411,0.024633048405161784,0.5813790742851993,0.21491476344870408
WO_SOFT,Unrivaled_Investing_20260322_131142,0.034110111076000926,0.6556556495668652,0.20311276164114278
WO_REGIME_SPLIT,Unrivaled_Investing_20260321_225234,0.0751372506423611,0.997014291504852,0.18667621033657986
