kol_username,influence_score,tweets,followers_max,views_sum,likes_sum,retweets_sum,replies_sum,quotes_sum,bookmarks_sum,views_avg,likes_avg,retweets_avg,replies_avg
Tesla,13.286792,2243,24657840,5771094248,17664456,2108779,1089245,358353,409899,2572935.465,7875.3705,940.1601,485.6197
saylor,12.156112,4895,4848448,1736596698,38388534,5017330,2759106,526156,766904,354769.4991,7842.3971,1024.9908,563.658
BillAckman,11.925699,4862,1957774,4345315870,28516417,3867758,2019025,355657,1536238,893730.1255,5865.1619,795.5076,415.2664
dogecoin,11.521483,425,4399401,59330472,945796,174304,162783,24538,9727,139601.1106,2225.4024,410.1271,383.0188
michaeljburry,11.517678,191,1686183,125910073,542080,58930,41284,12456,111482,659215.0419,2838.1152,308.534,216.1466
CathieDWood,11.320267,757,1993976,307093465,1442156,161087,96175,26787,64333,405671.6843,1905.0938,212.7966,127.0476
DavidSacks,11.292935,7520,1446315,2842441940,19428858,2508553,1243676,249214,681841,377984.3005,2583.6247,333.5842,165.3824
coinbase,11.273595,5019,6763892,600258695,3427889,673749,970486,127562,102260,119597.2694,682.9825,134.2397,193.3624
unusual_whales,11.261538,76648,3143990,19201854741,100675464,11146217,8254113,3007301,4553588,250519.971,1313.478,145.4208,107.6886
chamath,11.186124,4778,1954049,1558697410,7789664,742246,504888,99391,710895,326223.8196,1630.319,155.3466,105.6693
KobeissiLetter,10.808614,22286,1327240,4322335671,24568799,3847612,1416849,627902,2360589,193948.4731,1102.432,172.647,63.5757
PremiumBusiness,10.768649,13,3951935,2469070,2611,580,865,34,252,189928.4615,200.8462,44.6154,66.5385
100trillionUSD,10.705211,5844,2161945,337583927,6909401,911241,374389,65569,159276,57765.9013,1182.3068,155.9276,64.0638
cryptocom,10.692027,13854,3066948,1048079120,5945475,1244428,1859726,127204,67432,75651.7338,429.1522,89.8245,134.2375
waitbutwhy,10.640815,4804,896072,860897919,6713663,589780,279088,92050,564041,179204.3961,1397.5152,122.7685,58.0949
JoePompliano,10.575113,12906,604001,2847875797,21933814,2043277,456170,490175,850978,220662.9317,1699.5052,158.3199,35.3456
Downtown,10.535199,21,1048921,1947387,29932,2046,1656,463,1062,92732.7143,1425.3333,97.4286,78.8571
StevenACohen2,10.527322,409,307873,59285119,1610719,96956,159098,48454,7402,144951.3912,3938.1883,237.0562,388.9927
AltcoinDaily,10.511522,30502,2024030,1638545833,20193582,2249620,4461080,247816,435155,53719.2916,662.0412,73.7532,146.2553
APompliano,10.458341,30771,1865108,1448261381,25154975,2538861,1980253,312547,828895,47065.7886,817.4897,82.5082,64.3545
HindenburgRes,10.452043,1312,867078,198897392,820878,194267,89960,51374,50835,151598.622,625.6692,148.0694,68.5671
jimcramer,10.432977,14221,2359712,1163578011,5246021,317627,1634212,282911,106386,81821.1104,368.8926,22.3351,114.9154
Polymarket,10.41017,17303,1064329,3068766647,9524094,840828,677794,277238,461478,177354.6002,550.4302,48.5943,39.1721
GrantCardone,10.357165,13015,1254312,666338401,10073216,1487820,1138253,132931,243479,51197.7258,773.9697,114.3158,87.457
balajis,10.352239,12092,1287234,1068926962,6909891,914395,378528,159572,958347,88399.5172,571.4432,75.6198,31.304
nikitabier,10.273209,7988,794234,1072713979,6439180,253275,426077,116806,701760,134290.6834,806.1067,31.7069,53.3396
PeterSchiff,10.264435,19621,1318503,914283629,11758251,1341006,2221952,263855,373457,46597.1984,599.2687,68.3454,113.2436
DonAlt,10.175584,99,707993,4485776,124350,10987,6249,578,2775,45310.8687,1256.0606,110.9798,63.1212
intocryptoverse,10.110526,21989,1154976,936875007,14289143,727647,1540929,68550,293378,42606.5309,649.8314,33.0914,70.0773
DeItaone,10.028054,62859,1167911,4745842395,16540788,2119086,1535226,770372,567193,75499.8074,263.1411,33.7117,24.4233
alifarhat79,10.021658,73969,740175,4058062204,54653380,4351864,1641934,380842,1689977,54861.661,738.8687,58.8336,22.1976
heydave7,10.016841,4775,606343,394960612,3069514,191998,229322,24798,62182,82714.2643,642.8302,40.209,48.0255
cdixon,10.001001,569,899278,25875118,272449,42142,16315,10136,58263,45474.7241,478.8207,74.0633,28.6731
Investingcom,9.928077,35381,1437456,1090545545,9765385,1745878,766070,266982,171436,30822.9147,276.0065,49.3451,21.652
charliebilello,9.924992,12484,730747,691951998,4722142,1115484,267631,151093,486854,55427.1065,378.2555,89.3531,21.4379
CryptoCapo_,9.919899,9014,994654,210082236,5807091,366706,652412,60096,77794,23306.2166,644.2302,40.6818,72.3776
ParikPatelCFA,9.876396,21871,771758,650433013,17308865,1041402,467021,123365,320135,29739.5187,791.4071,47.6157,21.3534
CramerTracker,9.860596,9275,405271,611523654,8130519,522115,224321,69944,169826,65932.4694,876.6058,56.2927,24.1856
