metric_group,metric,value
dataset,rows,48722
dataset,kols,18
dataset,companies,6774
dataset,date_min,2022-01-01 15:45:00+00:00
dataset,date_max,2025-12-31 22:01:17+00:00
frequency,companies_total,6774.0
frequency,mentioned_once_companies,4204.0
frequency,mentioned_once_pct,0.6206082078535577
frequency,mentioned_ge2_companies,2570.0
frequency,mentioned_ge2_pct,0.3793917921464422
frequency,mentions_mean,7.192500738116327
frequency,mentions_median,1.0
frequency,mentions_p25,1.0
frequency,mentions_p75,3.0
frequency,mentions_p90,9.0
frequency,mentions_max,1491.0
silence_all,gaps_count,41948
silence_all,gap_median_days,5.63730324074074
silence_all,gap_p90_days,107.1252199074075
silence_all,gap_max_days,1425.3355902777778
silence_positive_only,gaps_count,22094
silence_positive_only,gap_median_days,7.14324074074074
silence_positive_only,gap_p90_days,129.0935289351852
silence_positive_only,gap_max_days,1409.2916898148148
silence_negative_only,gaps_count,10750
silence_negative_only,gap_median_days,13.06237847222222
silence_negative_only,gap_p90_days,185.03677083333335
silence_negative_only,gap_max_days,1352.8366319444444
reversal,companies_with_min_directional_mentions,2228.0
reversal,companies_with_reversal,1297.0
reversal,reversal_rate,0.5821364452423698
reversal,ttf_median_days,179.8426736111111
reversal,ttf_p90_days,753.9079328703712
reversal,ttf_max_days,1403.231435185185
imbalance,posts_total,48722.0
imbalance,positive_count,26432.0
imbalance,negative_count,13495.0
imbalance,neutral_count,8795.0
imbalance,positive_ratio,0.542506465251837
imbalance,negative_ratio,0.2769795985386478
imbalance,neutral_ratio,0.1805139362095152
imbalance,p_next_neg_given_pos,0.2090988626421697
imbalance,p_next_pos_given_neg,0.4156621355903223
followup,no_followup_within_30d_count,6068.0
followup,no_followup_within_30d_pct,0.8957779746087984
followup,no_followup_within_60d_count,5809.0
followup,no_followup_within_60d_pct,0.8575435488633009
followup,no_followup_within_90d_count,5614.0
followup,no_followup_within_90d_pct,0.8287570121051078
