kol,companies_total,mentioned_once_companies,mentioned_once_pct,mentioned_ge2_companies,mentioned_ge2_pct,mentions_count,mentions_mean,mentions_median,mentions_p25,mentions_p50,mentions_p75,mentions_p90,mentions_max
Adam_Khoo,740,445,0.6013513513513513,295,0.39864864864864863,740,3.8932432432432433,1.0,1.0,1.0,3.0,7.0,128.0
Ale_s_World_of_Stocks,1149,686,0.5970409051348999,463,0.40295909486510006,1149,4.3846823324630115,1.0,1.0,1.0,3.0,7.0,193.0
Cameron_Stewart_CFA,383,247,0.6449086161879896,136,0.35509138381201044,383,2.2610966057441253,1.0,1.0,1.0,2.0,4.0,29.0
Daniel_Pronk,584,397,0.6797945205479452,187,0.3202054794520548,584,3.0239726027397262,1.0,1.0,1.0,2.0,5.0,108.0
Dividend_Data,810,485,0.5987654320987654,325,0.4012345679012346,810,3.9271604938271607,1.0,1.0,1.0,3.0,7.0,132.0
Everything_Money,128,93,0.7265625,35,0.2734375,128,1.6640625,1.0,1.0,1.0,2.0,3.0,11.0
Financial_Education,807,468,0.5799256505576208,339,0.4200743494423792,807,4.760842627013631,1.0,1.0,1.0,3.0,9.399999999999977,165.0
Humbled_Trader,262,195,0.7442748091603053,67,0.25572519083969464,262,1.7786259541984732,1.0,1.0,1.0,2.0,3.0,26.0
Invest_with_Henry,408,238,0.5833333333333334,170,0.4166666666666667,408,6.887254901960785,1.0,1.0,1.0,3.0,10.0,199.0
Investing_with_Tom,500,329,0.658,171,0.342,500,2.628,1.0,1.0,1.0,2.0,4.100000000000023,95.0
Joseph_Carlson,744,447,0.6008064516129032,297,0.39919354838709675,744,4.723118279569892,1.0,1.0,1.0,3.0,8.0,148.0
Learn_to_Invest,422,286,0.6777251184834123,136,0.3222748815165877,422,2.5687203791469195,1.0,1.0,1.0,2.0,5.0,49.0
MarketBeat,1245,873,0.7012048192771084,372,0.2987951807228916,1245,2.706024096385542,1.0,1.0,1.0,2.0,4.0,191.0
Sven_Carlin_Ph_D,745,521,0.6993288590604027,224,0.3006711409395973,745,2.4966442953020134,1.0,1.0,1.0,2.0,5.0,71.0
The_Maverick_of_Wall_Street,1925,1115,0.5792207792207792,810,0.42077922077922075,1925,5.652467532467533,1.0,1.0,1.0,3.0,11.0,321.0
Ticker_Take,731,504,0.6894664842681258,227,0.31053351573187415,731,1.9316005471956224,1.0,1.0,1.0,2.0,3.0,57.0
Tom_Nash,654,394,0.6024464831804281,260,0.39755351681957185,654,4.224770642201835,1.0,1.0,1.0,3.0,6.0,240.0
Unrivaled_Investing,661,479,0.7246596066565809,182,0.2753403933434191,661,2.2118003025718607,1.0,1.0,1.0,2.0,4.0,50.0
