kol,posts_total,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,neutral_ratio,pos_to_neg_count,p_next_neg_given_pos,neg_to_pos_count,p_next_pos_given_neg
Adam_Khoo,2881,1704,687,490,0.591461298160361,0.2384588684484554,0.17007983339118363,149,0.10688665710186514,134,0.3052391799544419
Ale_s_World_of_Stocks,5038,3227,882,929,0.6405319571258435,0.17506947201270345,0.18439857086145295,225,0.0843644544431946,239,0.40508474576271186
Cameron_Stewart_CFA,866,433,223,210,0.5,0.2575057736720554,0.24249422632794457,34,0.14912280701754385,34,0.23776223776223776
Daniel_Pronk,1766,948,496,322,0.5368063420158551,0.2808607021517554,0.1823329558323896,91,0.13582089552238805,87,0.27884615384615385
Dividend_Data,3181,2132,473,576,0.6702294875825212,0.14869537881169442,0.18107513360578434,136,0.08047337278106509,122,0.41496598639455784
Everything_Money,213,104,62,47,0.48826291079812206,0.29107981220657275,0.22065727699530516,2,0.041666666666666664,8,0.38095238095238093
Financial_Education,3842,2081,1207,554,0.5416449765747007,0.3141592920353982,0.1441957313899011,361,0.20280898876404493,362,0.40857787810383744
Humbled_Trader,466,288,87,91,0.6180257510729614,0.18669527896995708,0.19527896995708155,13,0.0948905109489051,12,0.4
Invest_with_Henry,2810,2045,334,431,0.7277580071174378,0.11886120996441281,0.15338078291814947,134,0.07436182019977802,143,0.5766129032258065
Investing_with_Tom,1314,694,157,463,0.528158295281583,0.11948249619482496,0.3523592085235921,35,0.0772626931567329,24,0.32432432432432434
Joseph_Carlson,3514,2060,807,647,0.5862265224815025,0.2296528173022197,0.18412066021627774,248,0.14058956916099774,214,0.37809187279151946
Learn_to_Invest,1084,708,143,233,0.6531365313653137,0.13191881918819187,0.21494464944649447,43,0.0957683741648107,34,0.44155844155844154
MarketBeat,3369,2551,413,405,0.757197981596913,0.1225883051350549,0.12021371326803205,139,0.08692933083176986,139,0.5743801652892562
Sven_Carlin_Ph_D,1860,669,795,396,0.3596774193548387,0.4274193548387097,0.2129032258064516,100,0.2358490566037736,95,0.20342612419700215
The_Maverick_of_Wall_Street,10881,3407,5460,2014,0.31311460343718406,0.5017921146953405,0.18509328186747542,1064,0.3850886717336229,1013,0.21954919809276116
Ticker_Take,1412,1180,65,167,0.8356940509915014,0.04603399433427762,0.11827195467422097,18,0.03169014084507042,27,0.7105263157894737
Tom_Nash,2763,1433,820,510,0.5186391603329714,0.2967788635541079,0.18458197611292074,148,0.12813852813852813,155,0.2658662092624357
Unrivaled_Investing,1462,768,384,310,0.5253077975376197,0.26265389876880985,0.21203830369357046,79,0.16844349680170576,69,0.372972972972973
