kol,rows,d_sig,d_sil,sil_sig_ratio,row_share
Adam_Khoo,15491,1467,14024,9.559645535105657,0.020254597849934754
Ale_s_World_of_Stocks,41589,2546,39043,15.33503534956795,0.0543779271822953
Cameron_Stewart_CFA,8352,343,8009,23.34985422740525,0.010920302191120978
Daniel_Pronk,9905,665,9240,13.894736842105264,0.012950861255154848
Dividend_Data,26224,1806,24418,13.520487264673312,0.034288075270588664
EliteOptions2,52457,4356,48101,11.04247015610652,0.06858791810819363
Everything_Money,363,104,259,2.4903846153846154,0.000474625202990531
Financial_Education,15444,1759,13685,7.779988629903354,0.020193144999960774
Humbled_Trader,568,89,479,5.382022471910112,0.0007426642294727869
Invest_with_Henry,13313,1658,11655,7.029553679131483,0.01740684663199157
Investing_with_Tom,4194,338,3856,11.408284023668639,0.005483686229593078
Joseph_Carlson,13820,1734,12086,6.9700115340253745,0.018069752907242807
Learn_to_Invest,8637,531,8106,15.265536723163843,0.011292941813303627
MarketBeat,38185,1423,36762,25.834153197470133,0.0499271718352436
Stephanie_Link,89194,1811,87383,48.251242407509665,0.11662181916126012
Stocktwits,256145,5108,251037,49.14584964761159,0.334911494820963
Sven_Carlin_Ph.D.,13418,581,12837,22.094664371772804,0.017544134913848333
The_Maverick_of_Wall_Street,59484,5044,54440,10.793021411578113,0.07777577293302686
Ticker_Take,8495,615,7880,12.8130081300813,0.01110727575593543
Tom_Nash,16908,1114,15794,14.17773788150808,0.022107335901277957
Unrivaled_Investing,9994,429,9565,22.296037296037294,0.013067229417871536
traderstewie,62634,957,61677,64.44827586206897,0.08189442138872981
