scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
TSLA,856,879,1735,0.49337175792507204,0.506628242074928,1.0268691588785046,TSLA,True
AAPL,735,994,1729,0.4251012145748988,0.5748987854251012,1.3523809523809525,AAPL,True
MSFT,573,1134,1707,0.335676625659051,0.664323374340949,1.9790575916230366,MSFT,True
NVDA,642,1035,1677,0.3828264758497317,0.6171735241502684,1.6121495327102804,NVDA,True
BAC,109,1470,1579,0.06903103229892336,0.9309689677010766,13.486238532110091,BAC,True
KO,85,1466,1551,0.0548033526756931,0.9451966473243069,17.24705882352941,KO,True
NFLX,194,1318,1512,0.1283068783068783,0.8716931216931217,6.793814432989691,NFLX,True
TGT,139,1356,1495,0.09297658862876254,0.9070234113712374,9.755395683453237,TGT,True
SBUX,152,1330,1482,0.10256410256410256,0.8974358974358975,8.75,SBUX,True
WMT,136,1325,1461,0.09308692676249145,0.9069130732375086,9.742647058823529,WMT,True
CVX,89,1344,1433,0.062107466852756456,0.9378925331472435,15.101123595505618,CVX,True
BRK-B,75,1331,1406,0.05334281650071124,0.9466571834992887,17.746666666666666,BRK-B,True
PYPL,158,1241,1399,0.11293781272337383,0.8870621872766261,7.8544303797468356,PYPL,True
MCD,89,1296,1385,0.06425992779783393,0.935740072202166,14.561797752808989,MCD,True
GS,150,1233,1383,0.10845986984815618,0.8915401301518439,8.22,GS,True
HD,75,1287,1362,0.05506607929515418,0.9449339207048458,17.16,HD,True
META,50,1307,1357,0.036845983787767135,0.9631540162122328,26.14,META,True
INTC,117,1221,1338,0.08744394618834081,0.9125560538116592,10.435897435897436,INTC,True
NKE,109,1158,1267,0.08602999210734018,0.9139700078926598,10.623853211009175,NKE,True
V,76,1190,1266,0.06003159557661927,0.9399684044233807,15.657894736842104,V,True
XOM,54,1173,1227,0.044009779951100246,0.9559902200488998,21.72222222222222,XOM,True
ADBE,72,1149,1221,0.05896805896805897,0.941031941031941,15.958333333333334,ADBE,True
CRM,84,1124,1208,0.0695364238410596,0.9304635761589404,13.380952380952381,CRM,True
MS,43,1143,1186,0.03625632377740304,0.9637436762225969,26.58139534883721,MS,True
JNJ,51,1134,1185,0.043037974683544304,0.9569620253164557,22.235294117647058,JNJ,True
PEP,106,1043,1149,0.09225413402959094,0.9077458659704091,9.839622641509434,PEP,True
PLTR,34,1050,1084,0.03136531365313653,0.9686346863468634,30.88235294117647,PLTR,True
WFC,61,1019,1080,0.05648148148148148,0.9435185185185185,16.704918032786885,WFC,True
