scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,kol
Stocktwits,5108,251037,256145,0.019941829822951843,0.9800581701770481,49.14584964761159,Stocktwits
Stephanie_Link,1811,87383,89194,0.020304056326658743,0.9796959436733412,48.251242407509665,Stephanie_Link
traderstewie,957,61677,62634,0.015279241306638568,0.9847207586933614,64.44827586206897,traderstewie
The_Maverick_of_Wall_Street,5044,54440,59484,0.08479591150561495,0.9152040884943851,10.793021411578113,The_Maverick_of_Wall_Street
EliteOptions2,4356,48101,52457,0.08303944182854528,0.9169605581714547,11.04247015610652,EliteOptions2
Ale_s_World_of_Stocks,2546,39043,41589,0.06121811055808026,0.9387818894419198,15.33503534956795,Ale_s_World_of_Stocks
MarketBeat,1423,36762,38185,0.03726594212387063,0.9627340578761294,25.834153197470133,MarketBeat
Dividend_Data,1806,24418,26224,0.06886821232458816,0.9311317876754118,13.520487264673312,Dividend_Data
Tom_Nash,1114,15794,16908,0.06588597113792288,0.9341140288620772,14.17773788150808,Tom_Nash
Adam_Khoo,1467,14024,15491,0.09470014847330709,0.9052998515266929,9.559645535105657,Adam_Khoo
Financial_Education,1759,13685,15444,0.1138953638953639,0.8861046361046361,7.779988629903354,Financial_Education
Joseph_Carlson,1734,12086,13820,0.12547033285094067,0.8745296671490593,6.9700115340253745,Joseph_Carlson
Sven_Carlin_Ph.D.,581,12837,13418,0.04330004471605306,0.9566999552839469,22.094664371772804,Sven_Carlin_Ph.D.
Invest_with_Henry,1658,11655,13313,0.12453992338315932,0.8754600766168407,7.029553679131483,Invest_with_Henry
Unrivaled_Investing,429,9565,9994,0.042925755453271965,0.9570742445467281,22.296037296037294,Unrivaled_Investing
Daniel_Pronk,665,9240,9905,0.06713780918727916,0.9328621908127208,13.894736842105264,Daniel_Pronk
Learn_to_Invest,531,8106,8637,0.06147968044459882,0.9385203195554012,15.265536723163843,Learn_to_Invest
Ticker_Take,615,7880,8495,0.07239552678045909,0.9276044732195409,12.8130081300813,Ticker_Take
Cameron_Stewart_CFA,343,8009,8352,0.04106800766283525,0.9589319923371648,23.34985422740525,Cameron_Stewart_CFA
Investing_with_Tom,338,3856,4194,0.08059132093466857,0.9194086790653314,11.408284023668639,Investing_with_Tom
Humbled_Trader,89,479,568,0.15669014084507044,0.8433098591549296,5.382022471910112,Humbled_Trader
Everything_Money,104,259,363,0.2865013774104683,0.7134986225895317,2.4903846153846154,Everything_Money
