scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,ticker,sil_gt_sig
AAPL,1714,5180,6894,0.24862199013635045,0.7513780098636496,3.0221703617269546,AAPL,True
AMZN,1501,5341,6842,0.2193802981584332,0.7806197018415668,3.558294470353098,AMZN,True
MSFT,1536,5226,6762,0.22715173025732033,0.7728482697426797,3.40234375,MSFT,True
TSLA,2236,4524,6760,0.33076923076923076,0.6692307692307692,2.0232558139534884,TSLA,True
GOOGL,1165,5553,6718,0.17341470675796367,0.8265852932420363,4.766523605150215,GOOGL,True
NVDA,2274,4392,6666,0.34113411341134114,0.6588658865886589,1.9313984168865435,NVDA,True
META,1449,5158,6607,0.21931285000756773,0.7806871499924323,3.559696342305038,META,True
NFLX,536,5355,5891,0.09098625021218808,0.9090137497878119,9.990671641791044,NFLX,True
AMD,599,5278,5877,0.10192274970222903,0.898077250297771,8.81135225375626,AMD,True
JPM,381,5151,5532,0.06887201735357917,0.9311279826464208,13.51968503937008,JPM,True
GS,299,5045,5344,0.05595059880239521,0.9440494011976048,16.872909698996654,GS,True
PLTR,913,4352,5265,0.17340930674264007,0.8265906932573599,4.76670317634173,PLTR,True
WMT,300,4874,5174,0.05798221878623889,0.9420177812137611,16.246666666666666,WMT,True
BAC,251,4632,4883,0.05140282613147655,0.9485971738685235,18.454183266932272,BAC,True
BRK-B,388,4446,4834,0.08026479106330162,0.9197352089366984,11.458762886597938,BRK-B,True
NKE,255,4523,4778,0.05336961071578066,0.9466303892842194,17.737254901960785,NKE,True
TGT,237,4470,4707,0.05035054174633524,0.9496494582536648,18.860759493670887,TGT,True
BABA,358,4229,4587,0.07804665358622193,0.921953346413778,11.812849162011172,BABA,True
INTC,306,4140,4446,0.06882591093117409,0.9311740890688259,13.529411764705882,INTC,True
KO,236,4188,4424,0.05334538878842676,0.9466546112115732,17.74576271186441,KO,True
SBUX,264,4087,4351,0.060675706734084116,0.9393242932659159,15.481060606060606,SBUX,True
CRM,228,4122,4350,0.05241379310344828,0.9475862068965517,18.07894736842105,CRM,True
BA,192,3991,4183,0.04590007171886206,0.954099928281138,20.786458333333332,BA,True
DIS,359,3795,4154,0.08642272508425614,0.9135772749157438,10.571030640668523,DIS,True
CVX,212,3922,4134,0.05128205128205128,0.9487179487179487,18.5,CVX,True
MCD,215,3892,4107,0.05234964694424154,0.9476503530557585,18.10232558139535,MCD,True
COIN,306,3793,4099,0.07465235423273969,0.9253476457672604,12.395424836601308,COIN,True
COST,260,3835,4095,0.06349206349206349,0.9365079365079365,14.75,COST,True
F,188,3871,4059,0.046316826804631686,0.9536831731953683,20.590425531914892,F,True
PYPL,237,3817,4054,0.058460779477059695,0.9415392205229403,16.10548523206751,PYPL,True
HOOD,359,3643,4002,0.08970514742628685,0.9102948525737131,10.147632311977716,HOOD,True
AVGO,303,3697,4000,0.07575,0.92425,12.201320132013201,AVGO,True
WFC,132,3840,3972,0.03323262839879154,0.9667673716012085,29.09090909090909,WFC,True
HD,140,3666,3806,0.03678402522333158,0.9632159747766684,26.185714285714287,HD,True
PANW,83,3650,3733,0.022234128047147066,0.9777658719528529,43.975903614457835,PANW,True
XOM,184,3535,3719,0.049475665501478895,0.9505243344985211,19.21195652173913,XOM,True
UBER,167,3528,3695,0.04519621109607578,0.9548037889039243,21.12574850299401,UBER,True
GME,161,3507,3668,0.04389312977099236,0.9561068702290076,21.782608695652176,GME,True
CRWD,126,3533,3659,0.03443563815250068,0.9655643618474993,28.03968253968254,CRWD,True
V,236,3420,3656,0.06455142231947483,0.9354485776805251,14.491525423728813,V,True
MS,118,3431,3549,0.03324880247957171,0.9667511975204283,29.076271186440678,MS,True
BLK,97,3394,3491,0.027785734746490976,0.9722142652535091,34.98969072164948,BLK,True
ADBE,178,3256,3434,0.05183459522422831,0.9481654047757717,18.292134831460675,ADBE,True
LOW,78,3320,3398,0.022954679223072396,0.9770453207769276,42.56410256410256,LOW,True
AXP,120,3271,3391,0.03538779121203185,0.9646122087879682,27.258333333333333,AXP,True
SHOP,171,3168,3339,0.05121293800539083,0.9487870619946092,18.526315789473685,SHOP,True
C,76,3262,3338,0.022768124625524265,0.9772318753744758,42.921052631578945,C,True
UNH,158,3138,3296,0.047936893203883495,0.9520631067961165,19.860759493670887,UNH,True
PFE,167,3122,3289,0.050775311644876864,0.9492246883551232,18.694610778443113,PFE,True
PG,118,3092,3210,0.0367601246105919,0.9632398753894081,26.203389830508474,PG,True
ORCL,165,3013,3178,0.051919446192573944,0.9480805538074261,18.26060606060606,ORCL,True
PEP,235,2844,3079,0.07632348164988632,0.9236765183501137,12.102127659574467,PEP,True
T,133,2899,3032,0.04386543535620053,0.9561345646437994,21.796992481203006,T,True
GM,87,2923,3010,0.028903654485049834,0.9710963455149502,33.59770114942529,GM,True
LMT,130,2794,2924,0.04445964432284542,0.9555403556771546,21.49230769230769,LMT,True
JNJ,105,2800,2905,0.03614457831325301,0.963855421686747,26.666666666666668,JNJ,True
OXY,97,2753,2850,0.034035087719298245,0.9659649122807018,28.38144329896907,OXY,True
QCOM,75,2737,2812,0.02667140825035562,0.9733285917496444,36.49333333333333,QCOM,True
MA,158,2597,2755,0.0573502722323049,0.9426497277676951,16.436708860759495,MA,True
FDX,59,2642,2701,0.021843761569788966,0.978156238430211,44.779661016949156,FDX,True
SOFI,241,2457,2698,0.08932542624166048,0.9106745737583395,10.195020746887966,SOFI,True
GE,74,2616,2690,0.0275092936802974,0.9724907063197026,35.351351351351354,GE,True
QQQ,654,2013,2667,0.2452193475815523,0.7547806524184477,3.0779816513761467,QQQ,True
DAL,51,2587,2638,0.019332827899924184,0.9806671721000758,50.72549019607843,DAL,True
SPY,390,2223,2613,0.14925373134328357,0.8507462686567164,5.7,SPY,True
CAT,93,2500,2593,0.03586579251831855,0.9641342074816814,26.881720430107528,CAT,True
SCHW,49,2503,2552,0.01920062695924765,0.9807993730407524,51.08163265306123,SCHW,True
ABNB,64,2466,2530,0.025296442687747035,0.974703557312253,38.53125,ABNB,True
HPQ,28,2315,2343,0.01195049082373026,0.9880495091762698,82.67857142857143,HPQ,True
ON,51,2181,2232,0.0228494623655914,0.9771505376344086,42.76470588235294,ON,True
HSY,74,2145,2219,0.03334835511491663,0.9666516448850834,28.986486486486488,HSY,True
LRCX,69,2142,2211,0.031207598371777476,0.9687924016282226,31.043478260869566,LRCX,True
SNOW,45,2155,2200,0.020454545454545454,0.9795454545454545,47.888888888888886,SNOW,True
MU,63,2087,2150,0.02930232558139535,0.9706976744186047,33.12698412698413,MU,True
TTD,43,2074,2117,0.02031176192725555,0.9796882380727444,48.23255813953488,TTD,True
MMM,69,2033,2102,0.032825880114176975,0.967174119885823,29.463768115942027,MMM,True
TMUS,31,2044,2075,0.014939759036144579,0.9850602409638555,65.93548387096774,TMUS,True
KR,69,1988,2057,0.03354399611084103,0.966456003889159,28.81159420289855,KR,True
ABBV,69,1977,2046,0.03372434017595308,0.966275659824047,28.652173913043477,ABBV,True
BKNG,52,1988,2040,0.025490196078431372,0.9745098039215686,38.23076923076923,BKNG,True
SLB,61,1967,2028,0.03007889546351085,0.9699211045364892,32.24590163934426,SLB,True
DASH,43,1985,2028,0.021203155818540435,0.9787968441814595,46.16279069767442,DASH,True
ENPH,25,1979,2004,0.0124750499001996,0.9875249500998003,79.16,ENPH,True
MRNA,48,1910,1958,0.024514811031664963,0.975485188968335,39.791666666666664,MRNA,True
DE,21,1933,1954,0.010747185261003071,0.989252814738997,92.04761904761905,DE,True
DOW,24,1920,1944,0.012345679012345678,0.9876543209876543,80.0,DOW,True
CMG,39,1901,1940,0.020103092783505156,0.9798969072164948,48.743589743589745,CMG,True
IWM,107,1816,1923,0.05564222568902756,0.9443577743109725,16.97196261682243,IWM,True
UAL,56,1864,1920,0.029166666666666667,0.9708333333333333,33.285714285714285,UAL,True
AMAT,41,1869,1910,0.021465968586387434,0.9785340314136126,45.58536585365854,AMAT,True
SMCI,111,1760,1871,0.059326563335114914,0.9406734366648851,15.855855855855856,SMCI,True
CSCO,19,1850,1869,0.010165864098448368,0.9898341359015517,97.36842105263158,CSCO,True
NOW,57,1808,1865,0.030563002680965148,0.9694369973190349,31.719298245614034,NOW,True
UPS,21,1834,1855,0.011320754716981131,0.9886792452830189,87.33333333333333,UPS,True
NEE,66,1787,1853,0.035617916891527254,0.9643820831084727,27.075757575757574,NEE,True
WBD,82,1770,1852,0.04427645788336933,0.9557235421166307,21.585365853658537,WBD,True
LEN,44,1789,1833,0.024004364429896344,0.9759956355701036,40.65909090909091,LEN,True
DDOG,22,1799,1821,0.012081274025260845,0.9879187259747392,81.77272727272727,DDOG,True
DPZ,43,1763,1806,0.023809523809523808,0.9761904761904762,41.0,DPZ,True
DG,57,1721,1778,0.032058492688413945,0.967941507311586,30.19298245614035,DG,True
GIS,70,1633,1703,0.041103934233705224,0.9588960657662948,23.32857142857143,GIS,True
MTCH,20,1680,1700,0.011764705882352941,0.9882352941176471,84.0,MTCH,True
ROKU,19,1657,1676,0.011336515513126491,0.9886634844868735,87.21052631578948,ROKU,True
FTNT,53,1613,1666,0.03181272509003601,0.968187274909964,30.433962264150942,FTNT,True
CVS,20,1644,1664,0.01201923076923077,0.9879807692307693,82.2,CVS,True
BBY,32,1623,1655,0.01933534743202417,0.9806646525679759,50.71875,BBY,True
SMH,31,1606,1637,0.018937080024434942,0.981062919975565,51.806451612903224,SMH,True
DHI,77,1536,1613,0.04773713577185369,0.9522628642281463,19.948051948051948,DHI,True
LULU,21,1584,1605,0.013084112149532711,0.9869158878504672,75.42857142857143,LULU,True
TXN,50,1533,1583,0.03158559696778269,0.9684144030322173,30.66,TXN,True
COP,18,1530,1548,0.011627906976744186,0.9883720930232558,85.0,COP,True
UNP,68,1478,1546,0.04398447606727038,0.9560155239327296,21.735294117647058,UNP,True
MO,100,1445,1545,0.06472491909385113,0.9352750809061489,14.45,MO,True
RBLX,31,1508,1539,0.02014294996751137,0.9798570500324886,48.645161290322584,RBLX,True
IBM,45,1488,1533,0.029354207436399216,0.9706457925636007,33.06666666666667,IBM,True
DKNG,29,1499,1528,0.018979057591623036,0.981020942408377,51.689655172413794,DKNG,True
SWK,24,1486,1510,0.015894039735099338,0.9841059602649007,61.916666666666664,SWK,True
EXPE,19,1481,1500,0.012666666666666666,0.9873333333333333,77.94736842105263,EXPE,True
TJX,20,1469,1489,0.013431833445265278,0.9865681665547347,73.45,TJX,True
WYNN,61,1426,1487,0.0410221923335575,0.9589778076664425,23.37704918032787,WYNN,True
AFRM,23,1463,1486,0.01547779273216689,0.9845222072678331,63.608695652173914,AFRM,True
ULTA,32,1449,1481,0.02160702228224173,0.9783929777177582,45.28125,ULTA,True
ZM,13,1461,1474,0.008819538670284939,0.991180461329715,112.38461538461539,ZM,True
FSLR,29,1437,1466,0.019781718963165076,0.980218281036835,49.55172413793103,FSLR,True
CMCSA,29,1426,1455,0.01993127147766323,0.9800687285223367,49.172413793103445,CMCSA,True
KHC,56,1393,1449,0.03864734299516908,0.961352657004831,24.875,KHC,True
MDB,13,1436,1449,0.008971704623878536,0.9910282953761215,110.46153846153847,MDB,True
BMBL,3,1436,1439,0.0020847810979847115,0.9979152189020153,478.6666666666667,BMBL,True
RIVN,32,1397,1429,0.02239328201539538,0.9776067179846046,43.65625,RIVN,True
ABT,29,1384,1413,0.020523708421797595,0.9794762915782024,47.724137931034484,ABT,True
KMX,9,1372,1381,0.0065170166545981175,0.9934829833454019,152.44444444444446,KMX,True
DRI,11,1368,1379,0.007976794778825236,0.9920232052211748,124.36363636363636,DRI,True
SNAP,28,1327,1355,0.020664206642066422,0.9793357933579335,47.392857142857146,SNAP,True
BMY,46,1298,1344,0.03422619047619048,0.9657738095238095,28.217391304347824,BMY,True
O,47,1288,1335,0.03520599250936329,0.9647940074906367,27.404255319148938,O,True
BBBY,20,1311,1331,0.015026296018031555,0.9849737039819685,65.55,BBBY,True
UPST,24,1304,1328,0.018072289156626505,0.9819277108433735,54.333333333333336,UPST,True
LCID,17,1310,1327,0.01281085154483798,0.987189148455162,77.05882352941177,LCID,True
LVS,42,1280,1322,0.03177004538577912,0.9682299546142209,30.476190476190474,LVS,True
ARKK,17,1298,1315,0.012927756653992395,0.9870722433460076,76.3529411764706,ARKK,True
MSTR,139,1159,1298,0.10708782742681047,0.8929121725731896,8.338129496402878,MSTR,True
DELL,31,1258,1289,0.02404965089216447,0.9759503491078355,40.58064516129032,DELL,True
DLTR,28,1252,1280,0.021875,0.978125,44.714285714285715,DLTR,True
BNTX,2,1269,1271,0.0015735641227380016,0.998426435877262,634.5,BNTX,True
NIO,32,1238,1270,0.025196850393700787,0.9748031496062992,38.6875,NIO,True
EBAY,16,1243,1259,0.012708498808578236,0.9872915011914217,77.6875,EBAY,True
BX,60,1195,1255,0.04780876494023904,0.952191235059761,19.916666666666668,BX,True
CL,12,1224,1236,0.009708737864077669,0.9902912621359223,102.0,CL,True
TSM,26,1206,1232,0.021103896103896104,0.9788961038961039,46.38461538461539,TSM,True
LYFT,14,1216,1230,0.011382113821138212,0.9886178861788618,86.85714285714286,LYFT,True
FCX,48,1179,1227,0.039119804400977995,0.960880195599022,24.5625,FCX,True
ACN,15,1202,1217,0.012325390304026294,0.9876746096959738,80.13333333333334,ACN,True
DIA,91,1125,1216,0.07483552631578948,0.9251644736842105,12.362637362637363,DIA,True
SPGI,85,1107,1192,0.07130872483221476,0.9286912751677853,13.023529411764706,SPGI,True
GOOG,42,1142,1184,0.03547297297297297,0.964527027027027,27.19047619047619,GOOG,True
MNST,26,1153,1179,0.02205258693808312,0.9779474130619169,44.34615384615385,MNST,True
MCO,46,1115,1161,0.03962101636520241,0.9603789836347976,24.23913043478261,MCO,True
AZO,29,1129,1158,0.025043177892918825,0.9749568221070811,38.93103448275862,AZO,True
NUE,16,1138,1154,0.01386481802426343,0.9861351819757366,71.125,NUE,True
INTU,67,1081,1148,0.05836236933797909,0.9416376306620209,16.134328358208954,INTU,True
DVN,15,1132,1147,0.013077593722755012,0.986922406277245,75.46666666666667,DVN,True
GD,33,1104,1137,0.029023746701846966,0.9709762532981531,33.45454545454545,GD,True
CLX,21,1112,1133,0.018534863195057368,0.9814651368049426,52.95238095238095,CLX,True
MDT,78,1041,1119,0.06970509383378017,0.9302949061662198,13.346153846153847,MDT,True
HAL,14,1105,1119,0.012511170688114389,0.9874888293118856,78.92857142857143,HAL,True
CCL,15,1082,1097,0.013673655423883319,0.9863263445761167,72.13333333333334,CCL,True
GOLD,12,1073,1085,0.011059907834101382,0.9889400921658986,89.41666666666667,GOLD,True
SFIX,1,1078,1079,0.0009267840593141798,0.9990732159406858,1078.0,SFIX,True
DOCU,2,1075,1077,0.0018570102135561746,0.9981429897864438,537.5,DOCU,True
DJI,5,1071,1076,0.004646840148698885,0.9953531598513011,214.2,DJI,True
LUV,18,1039,1057,0.017029328287606435,0.9829706717123936,57.72222222222222,LUV,True
EOG,14,1033,1047,0.013371537726838587,0.9866284622731614,73.78571428571429,EOG,True
TSN,52,984,1036,0.05019305019305019,0.9498069498069498,18.923076923076923,TSN,True
AMGN,38,996,1034,0.0367504835589942,0.9632495164410058,26.210526315789473,AMGN,True
CHTR,13,1015,1028,0.01264591439688716,0.9873540856031129,78.07692307692308,CHTR,True
WM,25,1002,1027,0.024342745861733205,0.9756572541382668,40.08,WM,True
MPC,31,990,1021,0.030362389813907934,0.9696376101860921,31.93548387096774,MPC,True
AMT,34,983,1017,0.03343166175024582,0.9665683382497542,28.91176470588235,AMT,True
CVNA,27,990,1017,0.02654867256637168,0.9734513274336283,36.666666666666664,CVNA,True
ADM,44,964,1008,0.04365079365079365,0.9563492063492064,21.90909090909091,ADM,True
SAVA,3,998,1001,0.002997002997002997,0.997002997002997,332.6666666666667,SAVA,True
LUNA,5,995,1000,0.005,0.995,199.0,LUNA,True
JETS,6,993,999,0.006006006006006006,0.993993993993994,165.5,JETS,True
ADP,27,957,984,0.027439024390243903,0.9725609756097561,35.44444444444444,ADP,True
KSS,7,974,981,0.007135575942915392,0.9928644240570846,139.14285714285714,KSS,True
GILD,7,966,973,0.007194244604316547,0.9928057553956835,138.0,GILD,True
XLF,24,945,969,0.02476780185758514,0.9752321981424149,39.375,XLF,True
CPB,13,955,968,0.013429752066115703,0.9865702479338843,73.46153846153847,CPB,True
XLE,16,950,966,0.016563146997929608,0.9834368530020704,59.375,XLE,True
HON,4,953,957,0.0041797283176593526,0.9958202716823407,238.25,HON,True
BIIB,4,949,953,0.004197271773347324,0.9958027282266527,237.25,BIIB,True
FAST,14,938,952,0.014705882352941176,0.9852941176470589,67.0,FAST,True
XYZ,22,929,951,0.023133543638275498,0.9768664563617245,42.22727272727273,XYZ,True
TTWO,11,932,943,0.01166489925768823,0.9883351007423118,84.72727272727273,TTWO,True
DUK,26,909,935,0.027807486631016044,0.9721925133689839,34.96153846153846,DUK,True
MARA,33,898,931,0.03544575725026853,0.9645542427497314,27.21212121212121,MARA,True
CLF,7,924,931,0.007518796992481203,0.9924812030075187,132.0,CLF,True
ADI,12,915,927,0.012944983818770227,0.9870550161812298,76.25,ADI,True
ROST,22,904,926,0.023758099352051837,0.9762419006479481,41.09090909090909,ROST,True
NCLH,12,909,921,0.013029315960912053,0.9869706840390879,75.75,NCLH,True
SPOT,14,895,909,0.015401540154015401,0.9845984598459846,63.92857142857143,SPOT,True
DKS,8,895,903,0.008859357696566999,0.991140642303433,111.875,DKS,True
ETN,45,857,902,0.04988913525498891,0.950110864745011,19.044444444444444,ETN,True
WDAY,8,889,897,0.008918617614269788,0.9910813823857302,111.125,WDAY,True
EA,12,884,896,0.013392857142857142,0.9866071428571429,73.66666666666667,EA,True
EL,19,867,886,0.02144469525959368,0.9785553047404063,45.63157894736842,EL,True
ISRG,25,860,885,0.02824858757062147,0.9717514124293786,34.4,ISRG,True
ZIM,2,874,876,0.00228310502283105,0.997716894977169,437.0,ZIM,True
PTON,15,859,874,0.017162471395881007,0.982837528604119,57.266666666666666,PTON,True
USB,21,850,871,0.024110218140068886,0.9758897818599311,40.476190476190474,USB,True
JD,11,859,870,0.01264367816091954,0.9873563218390805,78.0909090909091,JD,True
AAL,6,856,862,0.0069605568445475635,0.9930394431554525,142.66666666666666,AAL,True
IT,5,855,860,0.005813953488372093,0.9941860465116279,171.0,IT,True
FOX,11,841,852,0.012910798122065728,0.9870892018779343,76.45454545454545,FOX,True
WTI,11,834,845,0.01301775147928994,0.98698224852071,75.81818181818181,WTI,True
RKT,3,839,842,0.0035629453681710215,0.996437054631829,279.6666666666667,RKT,True
PDD,10,831,841,0.011890606420927468,0.9881093935790726,83.1,PDD,True
PSX,7,834,841,0.008323424494649227,0.9916765755053508,119.14285714285714,PSX,True
ALLY,1,840,841,0.0011890606420927466,0.9988109393579072,840.0,ALLY,True
HAS,10,831,841,0.011890606420927468,0.9881093935790726,83.1,HAS,True
CLSK,16,822,838,0.01909307875894988,0.9809069212410502,51.375,CLSK,True
UAA,9,828,837,0.010752688172043012,0.989247311827957,92.0,UAA,True
SYY,7,823,830,0.008433734939759036,0.9915662650602409,117.57142857142857,SYY,True
WOOF,3,824,827,0.0036275695284159614,0.9963724304715841,274.6666666666667,WOOF,True
YUM,23,802,825,0.027878787878787878,0.9721212121212122,34.869565217391305,YUM,True
NOC,37,777,814,0.045454545454545456,0.9545454545454546,21.0,NOC,True
LLY,21,787,808,0.02599009900990099,0.974009900990099,37.476190476190474,LLY,True
BTU,3,800,803,0.0037359900373599006,0.9962640099626401,266.6666666666667,BTU,True
ARM,31,771,802,0.03865336658354115,0.9613466334164589,24.870967741935484,ARM,True
INDO,7,795,802,0.008728179551122194,0.9912718204488778,113.57142857142857,INDO,True
ALL,10,789,799,0.012515644555694618,0.9874843554443054,78.9,ALL,True
MGM,12,783,795,0.01509433962264151,0.9849056603773585,65.25,MGM,True
ASTS,15,773,788,0.01903553299492386,0.9809644670050761,51.53333333333333,ASTS,True
ASML,5,782,787,0.0063532401524777635,0.9936467598475223,156.4,ASML,True
JEF,4,774,778,0.005141388174807198,0.9948586118251928,193.5,JEF,True
PLUG,11,766,777,0.014157014157014158,0.9858429858429858,69.63636363636364,PLUG,True
MARPS,2,774,776,0.002577319587628866,0.9974226804123711,387.0,MARPS,True
MXC,2,774,776,0.002577319587628866,0.9974226804123711,387.0,MXC,True
APPS,4,768,772,0.0051813471502590676,0.9948186528497409,192.0,APPS,True
MRK,8,763,771,0.010376134889753566,0.9896238651102465,95.375,MRK,True
EMR,9,761,770,0.011688311688311689,0.9883116883116884,84.55555555555556,EMR,True
STZ,15,754,769,0.01950585175552666,0.9804941482444733,50.266666666666666,STZ,True
WSM,5,763,768,0.006510416666666667,0.9934895833333334,152.6,WSM,True
PNC,4,757,761,0.005256241787122208,0.9947437582128777,189.25,PNC,True
VZ,8,750,758,0.010554089709762533,0.9894459102902374,93.75,VZ,True
HUT,5,751,756,0.006613756613756613,0.9933862433862434,150.2,HUT,True
HUM,16,738,754,0.021220159151193633,0.9787798408488063,46.125,HUM,True
USO,5,742,747,0.006693440428380187,0.9933065595716198,148.4,USO,True
CI,11,733,744,0.01478494623655914,0.9852150537634409,66.63636363636364,CI,True
