Date,NAV,Daily_Return,Cumulative_Return
2024-01-02,1.0,0.0,0.0
2024-01-03,1.0,0.0,0.0
2024-01-04,1.0,0.0,0.0
2024-01-05,1.0,0.0,0.0
2024-01-08,1.0,0.0,0.0
2024-01-09,1.0,0.0,0.0
2024-01-10,1.0,0.0,0.0
2024-01-11,1.0,0.0,0.0
2024-01-12,1.0,0.0,0.0
2024-01-16,1.0,0.0,0.0
2024-01-17,1.0,0.0,0.0
2024-01-18,1.0,0.0,0.0
2024-01-19,1.0,0.0,0.0
2024-01-22,1.0,0.0,0.0
2024-01-23,1.0,0.0,0.0
2024-01-24,1.0,0.0,0.0
2024-01-25,1.0,0.0,0.0
2024-01-26,1.0,0.0,0.0
2024-01-29,1.0,0.0,0.0
2024-01-30,1.0,0.0,0.0
2024-01-31,1.0,0.0,0.0
2024-02-01,1.0,0.0,0.0
2024-02-02,1.0,0.0,0.0
2024-02-05,1.0,0.0,0.0
2024-02-06,1.0,0.0,0.0
2024-02-07,1.0,0.0,0.0
2024-02-08,1.0,0.0,0.0
2024-02-09,1.0,0.0,0.0
2024-02-12,1.0,0.0,0.0
2024-02-13,1.0,0.0,0.0
2024-02-14,1.0,0.0,0.0
2024-02-15,1.0,0.0,0.0
2024-02-16,1.0,0.0,0.0
2024-02-20,1.0,0.0,0.0
2024-02-21,1.0,0.0,0.0
2024-02-22,1.0,0.0,0.0
2024-02-23,1.0,0.0,0.0
2024-02-26,1.0,0.0,0.0
2024-02-27,1.0,0.0,0.0
2024-02-28,1.0,0.0,0.0
2024-02-29,1.0,0.0,0.0
2024-03-01,1.0,0.0,0.0
2024-03-04,1.0,0.0,0.0
2024-03-05,1.0,0.0,0.0
2024-03-06,1.0,0.0,0.0
2024-03-07,1.0,0.0,0.0
2024-03-08,1.0,0.0,0.0
2024-03-11,1.0,0.0,0.0
2024-03-12,1.0,0.0,0.0
2024-03-13,1.0,0.0,0.0
2024-03-14,1.0,0.0,0.0
2024-03-15,1.0,0.0,0.0
2024-03-18,1.0,0.0,0.0
2024-03-19,1.0,0.0,0.0
2024-03-20,1.0,0.0,0.0
2024-03-21,1.0,0.0,0.0
2024-03-22,1.0,0.0,0.0
2024-03-25,1.0,0.0,0.0
2024-03-26,1.0,0.0,0.0
2024-03-27,1.0,0.0,0.0
2024-03-28,1.0,0.0,0.0
2024-04-01,1.0,0.0,0.0
2024-04-02,1.0,0.0,0.0
2024-04-03,1.0,0.0,0.0
2024-04-04,1.0,0.0,0.0
2024-04-05,1.0,0.0,0.0
2024-04-08,1.0,0.0,0.0
2024-04-09,1.0,0.0,0.0
2024-04-10,1.0,0.0,0.0
2024-04-11,1.0,0.0,0.0
2024-04-12,1.0,0.0,0.0
2024-04-15,1.0,0.0,0.0
2024-04-16,1.0,0.0,0.0
2024-04-17,1.0,0.0,0.0
2024-04-18,1.0,0.0,0.0
2024-04-19,1.0,0.0,0.0
2024-04-22,1.0,0.0,0.0
2024-04-23,1.0,0.0,0.0
2024-04-24,1.0,0.0,0.0
2024-04-25,1.0,0.0,0.0
2024-04-26,1.0,0.0,0.0
2024-04-29,1.0,0.0,0.0
2024-04-30,1.0,0.0,0.0
2024-05-01,1.0,0.0,0.0
2024-05-02,1.0,0.0,0.0
2024-05-03,1.0,0.0,0.0
2024-05-06,1.0,0.0,0.0
2024-05-07,1.0,0.0,0.0
2024-05-08,1.0,0.0,0.0
2024-05-09,1.0,0.0,0.0
2024-05-10,1.0,0.0,0.0
2024-05-13,1.0,0.0,0.0
2024-05-14,1.0,0.0,0.0
2024-05-15,1.0,0.0,0.0
2024-05-16,1.0,0.0,0.0
2024-05-17,1.0,0.0,0.0
2024-05-20,1.0,0.0,0.0
2024-05-21,1.0,0.0,0.0
2024-05-22,1.0,0.0,0.0
2024-05-23,1.0,0.0,0.0
2024-05-24,1.0,0.0,0.0
2024-05-28,1.0,0.0,0.0
2024-05-29,1.0,0.0,0.0
2024-05-30,1.0,0.0,0.0
2024-05-31,1.0,0.0,0.0
2024-06-03,1.0,0.0,0.0
2024-06-04,1.0,0.0,0.0
2024-06-05,1.0,0.0,0.0
2024-06-06,1.0,0.0,0.0
2024-06-07,1.0,0.0,0.0
2024-06-10,1.0,0.0,0.0
2024-06-11,1.0,0.0,0.0
2024-06-12,1.0,0.0,0.0
2024-06-13,1.0,0.0,0.0
2024-06-14,1.0,0.0,0.0
2024-06-17,1.0,0.0,0.0
2024-06-18,1.0,0.0,0.0
2024-06-20,1.0,0.0,0.0
2024-06-21,1.0,0.0,0.0
2024-06-24,1.0,0.0,0.0
2024-06-25,1.0047839346875,0.004783934687499996,0.004783934687500047
2024-06-26,1.0035215555985784,-0.0012563687031025947,0.003521555598578363
2024-06-27,1.0038354599081172,0.00031280275723785504,0.003835459908117178
2024-06-28,1.0012129759348185,-0.0026124639724709403,0.0012129759348185054
2024-07-01,0.9953500411648603,-0.005855831786922411,-0.004649958835139745
2024-07-02,0.9955064403636913,0.0001571298461473425,-0.004493559636308708
2024-07-03,0.994016682881401,-0.0014964820134624193,-0.0059833171185990075
2024-07-05,1.010022480986465,0.01610214232890682,0.010022480986465077
2024-07-08,1.0289969780187658,0.01878621257397047,0.028996978018765773
2024-07-09,1.031988784340808,0.0029074976758461835,0.031988784340807985
2024-07-10,1.0383494843216527,0.00616353595829795,0.03834948432165275
2024-07-11,1.0318296940520888,-0.006278994084369637,0.0318296940520888
2024-07-12,1.0466037591351116,0.014318317420197346,0.04660375913511161
2024-07-15,1.0313257180042965,-0.014597731947227601,0.03132571800429651
2024-07-16,1.0413349455043515,0.009705204985505138,0.04133494550435146
2024-07-17,1.050462816675033,0.008765547732829322,0.05046281667503294
2024-07-18,1.0536686000583244,0.0030517818740490896,0.05366860005832441
2024-07-19,1.0394569385979737,-0.013487790619900825,0.03945693859797372
2024-07-22,1.0445497651070337,0.004899506963635558,0.04454976510703368
2024-07-23,1.0345802882291601,-0.009544281384096532,0.03458028822916015
2024-07-24,1.012217317207294,-0.021615500774854125,0.01221731720729391
2024-07-25,1.0183191920902488,0.006028226132101564,0.018319192090248793
2024-07-26,1.0312901619025143,0.012737626780499719,0.031290161902514324
2024-07-29,1.0365321045733589,0.005082897970416272,0.03653210457335887
2024-07-30,1.0338848580743991,-0.0025539454950595413,0.033884858074399116
2024-07-31,1.0400571069019628,0.005969957659559283,0.04005710690196285
2024-08-01,1.0261141261063147,-0.013405976174885596,0.026114126106314695
2024-08-02,0.9813772978023039,-0.043598296881233754,-0.018622702197696128
2024-08-05,0.9486112123968767,-0.03338785753328863,-0.051388787603123265
2024-08-06,0.9493332445404762,0.0007611465415583748,-0.050666755459523816
2024-08-07,0.9373948104651217,-0.012575598867954146,-0.06260518953487826
2024-08-08,0.9245666548154008,-0.013684901502021132,-0.07543334518459921
2024-08-09,0.9257780785213151,0.0013102610824269616,-0.0742219214786849
2024-08-12,0.9204654984891226,-0.005738502731321803,-0.07953450151087738
2024-08-13,0.9471258936316467,0.028964035247692768,-0.052874106368353324
