Date,NAV,Daily_Return,Cumulative_Return
2024-01-02,1.0,0.0,0.0
2024-01-03,1.0,0.0,0.0
2024-01-04,1.0,0.0,0.0
2024-01-05,1.0,0.0,0.0
2024-01-08,1.0,0.0,0.0
2024-01-09,1.0,0.0,0.0
2024-01-10,1.0,0.0,0.0
2024-01-11,1.0,0.0,0.0
2024-01-12,1.0,0.0,0.0
2024-01-16,1.0,0.0,0.0
2024-01-17,1.0,0.0,0.0
2024-01-18,1.0,0.0,0.0
2024-01-19,1.0,0.0,0.0
2024-01-22,1.0,0.0,0.0
2024-01-23,1.0,0.0,0.0
2024-01-24,1.0,0.0,0.0
2024-01-25,1.0,0.0,0.0
2024-01-26,1.0,0.0,0.0
2024-01-29,1.0,0.0,0.0
2024-01-30,1.0,0.0,0.0
2024-01-31,1.0,0.0,0.0
2024-02-01,1.0,0.0,0.0
2024-02-02,1.0,0.0,0.0
2024-02-05,1.0,0.0,0.0
2024-02-06,1.0,0.0,0.0
2024-02-07,1.0,0.0,0.0
2024-02-08,1.0,0.0,0.0
2024-02-09,1.0,0.0,0.0
2024-02-12,1.0,0.0,0.0
2024-02-13,1.0,0.0,0.0
2024-02-14,1.0,0.0,0.0
2024-02-15,1.0,0.0,0.0
2024-02-16,1.0,0.0,0.0
2024-02-20,1.0,0.0,0.0
2024-02-21,1.0,0.0,0.0
2024-02-22,1.0,0.0,0.0
2024-02-23,1.0,0.0,0.0
2024-02-26,1.0,0.0,0.0
2024-02-27,1.0,0.0,0.0
2024-02-28,1.0,0.0,0.0
2024-02-29,1.0,0.0,0.0
2024-03-01,1.0,0.0,0.0
2024-03-04,1.0,0.0,0.0
2024-03-05,1.0,0.0,0.0
2024-03-06,1.0,0.0,0.0
2024-03-07,1.0,0.0,0.0
2024-03-08,1.0,0.0,0.0
2024-03-11,1.0,0.0,0.0
2024-03-12,1.0,0.0,0.0
2024-03-13,1.0,0.0,0.0
2024-03-14,1.0,0.0,0.0
2024-03-15,1.0,0.0,0.0
2024-03-18,1.0,0.0,0.0
2024-03-19,1.0,0.0,0.0
2024-03-20,1.0,0.0,0.0
2024-03-21,1.0,0.0,0.0
2024-03-22,1.0,0.0,0.0
2024-03-25,1.0,0.0,0.0
2024-03-26,1.0,0.0,0.0
2024-03-27,1.0,0.0,0.0
2024-03-28,1.0,0.0,0.0
2024-04-01,1.0,0.0,0.0
2024-04-02,1.0,0.0,0.0
2024-04-03,1.0,0.0,0.0
2024-04-04,1.0,0.0,0.0
2024-04-05,1.0,0.0,0.0
2024-04-08,1.0,0.0,0.0
2024-04-09,1.0,0.0,0.0
2024-04-10,1.0,0.0,0.0
2024-04-11,1.0,0.0,0.0
2024-04-12,1.0,0.0,0.0
2024-04-15,1.0,0.0,0.0
2024-04-16,1.0,0.0,0.0
2024-04-17,1.0,0.0,0.0
2024-04-18,1.0,0.0,0.0
2024-04-19,1.0,0.0,0.0
2024-04-22,1.0,0.0,0.0
2024-04-23,1.0,0.0,0.0
2024-04-24,1.0,0.0,0.0
2024-04-25,1.0,0.0,0.0
2024-04-26,1.0,0.0,0.0
2024-04-29,1.0,0.0,0.0
2024-04-30,1.0,0.0,0.0
2024-05-01,1.0,0.0,0.0
2024-05-02,1.0,0.0,0.0
2024-05-03,1.0,0.0,0.0
2024-05-06,1.0,0.0,0.0
2024-05-07,1.0,0.0,0.0
2024-05-08,1.0,0.0,0.0
2024-05-09,1.0,0.0,0.0
2024-05-10,1.0,0.0,0.0
2024-05-13,1.0,0.0,0.0
2024-05-14,1.0,0.0,0.0
2024-05-15,1.0,0.0,0.0
2024-05-16,1.0,0.0,0.0
2024-05-17,1.00688883148196,0.006888831481959971,0.006888831481959956
2024-05-20,0.9965986394557823,-0.010219789617720066,-0.003401360544217691
2024-05-21,1.0126797554464826,0.016136000345617203,0.012679755446482588
2024-05-22,0.9953930939464395,-0.017070215344061626,-0.004606906053560511
2024-05-23,0.9824810156230178,-0.01297183836410712,-0.017518984376982183
2024-05-24,1.0077529261404885,0.025722543352601174,0.007752926140488503
2024-05-28,1.078078879378244,0.06978491593876215,0.07807887937824409
2024-05-29,1.0867868036014923,0.008077260755048178,0.08678680360149227
2024-05-30,1.0458974202923261,-0.03762410729838002,0.04589742029232613
2024-05-31,1.0376627528203413,-0.007873303167420855,0.03766275282034126
2024-06-03,1.0884905279060408,0.04898294262519388,0.08849052790604084
2024-06-04,1.1021203223424296,0.012521739130434762,0.10212032234242963
2024-06-05,1.158911132494049,0.05152868430092752,0.1589111324940491
2024-06-06,1.1573352189738384,-0.0013598225748502589,0.1573352189738384
2024-06-07,1.1544638735200903,-0.002480997213835877,0.15446387352009028
2024-06-10,1.1659269647555797,0.00992936331609689,0.16592696475557966
2024-06-11,1.1550049470460007,-0.00936766885039731,0.15500494704600065
2024-06-12,1.1867921747386216,0.02752129137967669,0.18679217473862164
2024-06-13,1.215801286329628,0.024443295303489307,0.21580128632962792
2024-06-14,1.226022326464609,0.008406834447294832,0.22602232646460907
2024-06-17,1.2176554771029307,-0.006824385805277568,0.21765547710293065
2024-06-18,1.2604193738403984,0.03511986562834038,0.26041937384039837
2024-06-20,1.21579617724478,-0.03540345183655415,0.21579617724478006
2024-06-21,1.1766579152307064,-0.032191466585104814,0.1766579152307064
2024-06-24,1.0980095312309295,-0.06684048352690207,0.09800953123092948
2024-06-25,1.1051468594096372,0.006500242462109043,0.1051468594096372
2024-06-26,1.1106010981749186,0.004935306759316135,0.11060109817491859
2024-06-27,1.1245399074853448,0.01255068929189101,0.12453990748534483
2024-06-28,1.1039036962463933,-0.018350803827938394,0.10390369624639328
2024-07-01,1.1033977612515051,-0.00045831443142041727,0.10339776125150513
2024-07-02,1.1156530019655864,0.011106820354774852,0.11565300196558637
2024-07-03,1.1191705448211653,0.0031529004532607394,0.11917054482116529
2024-07-05,1.1348050585315175,0.013969733015847434,0.13480505853151747
2024-07-08,1.1306152208737943,-0.0036921210618720657,0.1306152208737943
2024-07-09,1.1300772941702426,-0.00047578229411761227,0.1300772941702426
2024-07-10,1.137698223165452,0.006743723667862124,0.137698223165452
2024-07-11,1.1298120195210266,-0.006931718344855523,0.1298120195210266
2024-07-12,1.1217666253911804,-0.007121002424152803,0.12176662539118044
2024-07-15,1.1219935208085483,0.00020226615075894785,0.1219935208085483
2024-07-16,1.1171921176010324,-0.004279350208774701,0.11719211760103243
2024-07-17,1.0858935742802014,-0.02801536354198334,0.08589357428020139
2024-07-18,1.1101328475816925,0.02232196034271457,0.1101328475816925
2024-07-19,1.1058599489793397,-0.003848997542646202,0.1058599489793397
2024-07-22,1.1278912994316141,0.019922369439826726,0.12789129943161415
2024-07-23,1.1260785565620905,-0.0016071964296889244,0.12607855656209055
2024-07-24,1.0971217817965877,-0.02571470222637727,0.0971217817965877
2024-07-25,1.0866797488455346,-0.009517660777779548,0.08667974884553464
2024-07-26,1.0982280154466748,0.010627111265677672,0.09822801544667481
2024-07-29,1.103522793080963,0.0048212006612621825,0.10352279308096302
