Date,NAV,Daily_Return,Cumulative_Return
2024-01-02,1.0,0.0,0.0
2024-01-03,1.0,0.0,0.0
2024-01-04,1.0,0.0,0.0
2024-01-05,1.0,0.0,0.0
2024-01-08,1.0,0.0,0.0
2024-01-09,1.0,0.0,0.0
2024-01-10,1.0,0.0,0.0
2024-01-11,1.0,0.0,0.0
2024-01-12,1.0,0.0,0.0
2024-01-16,1.0,0.0,0.0
2024-01-17,1.0,0.0,0.0
2024-01-18,1.0,0.0,0.0
2024-01-19,1.0,0.0,0.0
2024-01-22,1.0,0.0,0.0
2024-01-23,1.0,0.0,0.0
2024-01-24,1.0,0.0,0.0
2024-01-25,1.0,0.0,0.0
2024-01-26,1.0,0.0,0.0
2024-01-29,1.0,0.0,0.0
2024-01-30,1.0,0.0,0.0
2024-01-31,1.0,0.0,0.0
2024-02-01,1.0,0.0,0.0
2024-02-02,1.0,0.0,0.0
2024-02-05,1.0,0.0,0.0
2024-02-06,1.0,0.0,0.0
2024-02-07,1.0,0.0,0.0
2024-02-08,1.0,0.0,0.0
2024-02-09,1.0,0.0,0.0
2024-02-12,1.0,0.0,0.0
2024-02-13,1.0,0.0,0.0
2024-02-14,1.0,0.0,0.0
2024-02-15,1.0,0.0,0.0
2024-02-16,1.0,0.0,0.0
2024-02-20,1.0,0.0,0.0
2024-02-21,1.0,0.0,0.0
2024-02-22,1.0,0.0,0.0
2024-02-23,1.0,0.0,0.0
2024-02-26,1.0,0.0,0.0
2024-02-27,1.0,0.0,0.0
2024-02-28,1.0,0.0,0.0
2024-02-29,1.0,0.0,0.0
2024-03-01,1.0,0.0,0.0
2024-03-04,1.0,0.0,0.0
2024-03-05,1.0,0.0,0.0
2024-03-06,1.0,0.0,0.0
2024-03-07,1.0,0.0,0.0
2024-03-08,1.0,0.0,0.0
2024-03-11,1.0,0.0,0.0
2024-03-12,1.0,0.0,0.0
2024-03-13,1.0,0.0,0.0
2024-03-14,1.0,0.0,0.0
2024-03-15,1.0,0.0,0.0
2024-03-18,1.0,0.0,0.0
2024-03-19,1.0,0.0,0.0
2024-03-20,1.0,0.0,0.0
2024-03-21,1.0,0.0,0.0
2024-03-22,1.0,0.0,0.0
2024-03-25,1.0,0.0,0.0
2024-03-26,1.0,0.0,0.0
2024-03-27,1.0,0.0,0.0
2024-03-28,1.0,0.0,0.0
2024-04-01,1.0,0.0,0.0
2024-04-02,1.0,0.0,0.0
2024-04-03,1.0,0.0,0.0
2024-04-04,1.0,0.0,0.0
2024-04-05,1.0,0.0,0.0
2024-04-08,1.0,0.0,0.0
2024-04-09,1.0,0.0,0.0
2024-04-10,1.0,0.0,0.0
2024-04-11,1.0,0.0,0.0
2024-04-12,1.0,0.0,0.0
2024-04-15,1.0,0.0,0.0
2024-04-16,1.0,0.0,0.0
2024-04-17,1.0,0.0,0.0
2024-04-18,1.0,0.0,0.0
2024-04-19,1.0,0.0,0.0
2024-04-22,1.0,0.0,0.0
2024-04-23,1.0,0.0,0.0
2024-04-24,1.0,0.0,0.0
2024-04-25,1.0,0.0,0.0
2024-04-26,1.0,0.0,0.0
2024-04-29,1.0,0.0,0.0
2024-04-30,1.0,0.0,0.0
2024-05-01,1.0,0.0,0.0
2024-05-02,1.0,0.0,0.0
2024-05-03,1.0,0.0,0.0
2024-05-06,1.0,0.0,0.0
2024-05-07,1.0,0.0,0.0
2024-05-08,1.0,0.0,0.0
2024-05-09,1.0,0.0,0.0
2024-05-10,1.0,0.0,0.0
2024-05-13,1.0,0.0,0.0
2024-05-14,1.0,0.0,0.0
2024-05-15,1.0,0.0,0.0
2024-05-16,1.0,0.0,0.0
2024-05-17,1.0,0.0,0.0
2024-05-20,1.0,0.0,0.0
2024-05-21,1.0,0.0,0.0
2024-05-22,1.0,0.0,0.0
2024-05-23,1.0,0.0,0.0
2024-05-24,1.0,0.0,0.0
2024-05-28,1.0,0.0,0.0
2024-05-29,1.0,0.0,0.0
2024-05-30,1.0,0.0,0.0
2024-05-31,1.0,0.0,0.0
2024-06-03,1.0,0.0,0.0
2024-06-04,1.0,0.0,0.0
2024-06-05,1.0,0.0,0.0
2024-06-06,1.0,0.0,0.0
2024-06-07,1.0,0.0,0.0
2024-06-10,1.0,0.0,0.0
2024-06-11,1.0079330294530153,0.007933029453015437,0.007933029453015328
2024-06-12,1.036386547931621,0.028229572448922245,0.036386547931620994
2024-06-13,1.032478197117595,-0.0037711323268583155,0.03247819711759492
2024-06-14,1.0328007792510878,0.00031243481401681196,0.03280077925108782
2024-06-17,1.055978618079014,0.022441732513731452,0.05597861807901405
2024-06-18,1.0741710872150574,0.017228065819304517,0.07417108721505739
2024-06-20,1.0442143592918336,-0.027888227750470288,0.044214359291833594
2024-06-21,1.0176580764746024,-0.025431830716483608,0.01765807647460238
2024-06-24,0.9881308266303439,-0.029014902477409277,-0.011869173369656094
2024-06-25,1.0028493546612742,0.014895323204440768,0.002849354661274228
2024-06-26,0.9980724623682717,-0.004763319905227397,-0.00192753763172826
2024-06-27,0.9980142124408253,-5.836242321339072e-05,-0.0019857875591746676
2024-06-28,1.0118669632084043,0.013880314122681214,0.011866963208404302
2024-07-01,1.0232836090223854,0.011282753789867244,0.023283609022385354
2024-07-02,1.0366848008871352,0.01309626358381041,0.036684800887135216
2024-07-03,1.0585391970967597,0.02108104236786606,0.0585391970967597
2024-07-05,1.0512119359007908,-0.006922049949652535,0.05121193590079076
2024-07-08,1.0706273527347572,0.01846955515904531,0.07062735273475718
2024-07-09,1.081932534555858,0.010559399395339064,0.08193253455585792
2024-07-10,1.0943020256657439,0.011432774886433848,0.09430202566574386
2024-07-11,1.0486463418564853,-0.04172128236853341,0.04864634185648531
2024-07-12,1.0567924494708167,0.0077682124937468525,0.05679244947081674
2024-07-15,1.067677198308392,0.010299798075795985,0.06767719830839192
2024-07-16,1.0619082486982292,-0.005403271343907218,0.061908248698229196
2024-07-17,0.9976541710491444,-0.06050812556343968,-0.002345828950855555
2024-07-18,0.991227133731004,-0.006442149498940783,-0.008772866268995982
2024-07-19,0.9906516173171741,-0.0005806100279596698,-0.009348382682825895
2024-07-22,1.0193440214333125,0.028963162846129153,0.019344021433312486
2024-07-23,1.0202463261813741,0.0008851817728748731,0.02024632618137412
2024-07-24,0.9687491767608253,-0.05047521181800756,-0.03125082323917472
2024-07-25,0.953935815431608,-0.015291224689086384,-0.04606418456839201
2024-07-26,0.9726756600002523,0.01964476463247741,-0.027324339999747704
2024-07-29,0.9627967140534258,-0.010156464639840912,-0.03720328594657418
2024-07-30,0.9341247803806234,-0.029779841636654637,-0.06587521961937659
2024-07-31,0.9914693500513452,0.061388554157995795,-0.008530649948654823
2024-08-01,0.9380796050368793,-0.05384911294706288,-0.06192039496312074
2024-08-02,0.8939489761976481,-0.047043586282313594,-0.10605102380235187
2024-08-05,0.8748988735538699,-0.021310055887984413,-0.12510112644613014
2024-08-06,0.8895750767087253,0.016774742314206243,-0.11042492329127473
2024-08-07,0.8363448467518915,-0.05983781622319781,-0.16365515324810853
