alias,ticker
s&p 500,SPY
sp 500,SPY
nasdaq,QQQ
dow jones,DIA
qqq,QQQ
spy,SPY
walgreens,WBA
walgreens boots alliance,WBA
verizon,VZ
chipotle,CMG
gm,GM
texas roadhouse,TXRH
american airlines,AAL
toyota,TM
ibm,IBM
asml,ASML
snowflake,SNOW
amc,AMC
tencent,TCEHY
cisco,CSCO
lululemon,LULU
merck,MRK
eli lilly,LLY
jd,JD
activision blizzard,ATVI
byd,BYDDY
rivian,RIVN
micron,MU
snapchat,SNAP
interactive brokers,IBKR
ups,UPS
microstrategy,MSTR
estee lauder,EL
carvana,CVNA
baidu,BIDU
nio,NIO
exxon,XOM
canadian pacific,CPKC
zoom,ZM
novo nordisk,NVO
tsmc,TSM
spotify,SPOT
cvs,CVS
raytheon,RTX
celsius,CELH
roku,ROKU
dell,DELL
pinduoduo,PDD
lyft,LYFT
paramount,PARA
paramount global,PARA
lucid,LCID
honda,HMC
instagram,META
domino s,DPZ
deutsche bank,DB
philip morris,PM
stellantis,STLA
hims,HIMS
smci,SMCI
vici,VICI
roblox,RBLX
shell,SHEL
ferrari,RACE
ubs,UBS
draftkings,DKNG
duolingo,DUOL
sony,SONY
zillow,Z
adm,ADM
berkshire,BRK-B
alphabet google,GOOGL
wall street,
wall street journal,
warren buffett,
seeking alpha,
ai ticker chat,
openai,
youtube,
cnbc,
bloomberg,
federal reserve,
opec,
x,
tiktok,
chatgpt,
spacex,
silicon valley bank,
fed,
tiktok,
vanguard,VOO
brookfield corporation,BN
brookfield,BN
brookfield asset management,BAM
samsung,SSNLF
peloton,PTON
aws,AMZN
ark invest,ARKK
neo,NIO
c3 ai,AI
toll brothers,TOL
valero,VLO
credit suisse,UBS
fubo,FUBO
cheesecake factory,CAKE
nutrien,NTR
beyond meat,BYND
foot locker,FL
airbus,EADSY
honeywell,HON
rh,RH
bp,BP
taiwan semiconductor manufacturing company,TSM
softbank,SFTBY
square,SQ
docusign,DOCU
whirlpool,WHR
alcoa,AA
volkswagen,VWAGY
activision,ATVI
elf beauty,ELF
schwab,SCHW
constellation software,CNSWF
etsy,ETSY
affirm,AFRM
ally financial,ALLY
mercado libre,MELI
cloudflare,NET
archer aviation,ACHR
enterprise product partners,EPD
macy s,M
e l f beauty,ELF
soundhound,SOUN
nordstrom,JWN
daily journal corporation,DJCO
lvmh,LVMUY
arm holdings,ARM
bristol myers,BMY
citibank,C
nintendo,NTDOY
upstart,UPST
lemonade,LMND
joby aviation,JOBY
xpeng,XPEV
revolve,RVLV
the honest company,HNST
delta,DAL
hyundai,HYMTF
twilio,TWLO
mercedes,MBGYY
capital one,COF
john deere,DE
barclays,BCS
nikola,NKLA
td ameritrade,AMTD
cava,CAVA
deere,DE
bmw,BMWYY
marriott,MAR
hilton,HLT
ulta,ULTA
albertsons,ACI
plug power,PLUG
hess midstream,HESM
cameco,CCJ
wayfair,W
crispr therapeutics,CRSP
corsair gaming,CRSR
amc entertainment,AMC
sofi technologies,SOFI
take-two interactive,TTWO
crocs,CROX
super micro,SMCI
dutch bros,BROS
unilever,UL
rocket lab,RKLB
kkr,KKR
mongodb,MDB
zscaler,ZS
teladoc,TDOC
teladoc health,TDOC
jetblue,JBLU
winnebago,WGO
monster,MNST
google cloud,GOOGL
s&p,SPY
iwm,IWM
russell 2000,IWM
