video_id,channel_name,publishedAt,title,company,confidence,sentiment
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,S&P Global,0.95,0.8
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Mastercard,0.95,0.8
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Intuit,0.9,0.8
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Moody's,0.95,0.85
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Equifax,0.95,0.8
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Costco,0.95,0.95
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Booking Holdings,0.95,0.85
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Texas Roadhouse,0.9,0.75
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Apple,0.95,0.4
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Microsoft,0.95,0.9
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,FICO,0.95,0.6
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,TransUnion,0.95,0.0
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Salesforce,0.95,0.9
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Tableau,0.8,-0.4
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Slack,0.8,-0.4
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Informatica,0.9,0.7
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,ASML,0.95,0.95
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Zeiss,0.9,0.5
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Amazon,0.95,0.95
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Netflix,0.95,0.9
tA_WS8Aeclo,Joseph Carlson,2025-05-27T20:32:53Z,Five Quality Stocks To Buy Now,Google,0.95,0.95
EfGtEDJyRvk,Joseph Carlson,2025-05-19T20:03:10Z,United Health Group Stock Drops 50% and Moody’s Lowers US Credit Rating,United Health Group,1.0,0.7
