2026-03-20 14:06:30,501 | INFO | generate_embeddings | Log file: logs/embed_qwen4b_d1024_xrefresh.log
2026-03-20 14:06:30,501 | INFO | generate_embeddings | Input: data/multisource_ready_22-25_xrefresh_20260320_144701/04_clean/x
2026-03-20 14:06:30,501 | INFO | generate_embeddings | Output: data/multisource_ready_22-25_xrefresh_20260320_144701/05_embeddings/x
2026-03-20 14:06:30,501 | INFO | generate_embeddings | Loading model: Qwen/Qwen3-Embedding-4B
2026-03-20 14:06:30,501 | INFO | generate_embeddings | SentenceTransformer kwargs: {'device': 'cuda', 'trust_remote_code': True, 'model_kwargs': {'torch_dtype': torch.float16}, 'tokenizer_kwargs': {'padding_side': 'left'}}
2026-03-20 14:06:30,502 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: Qwen/Qwen3-Embedding-4B
2026-03-20 14:06:30,760 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen3-Embedding-4B/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-20 14:06:30,767 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Qwen/Qwen3-Embedding-4B/5cf2132abc99cad020ac570b19d031efec650f2b/modules.json "HTTP/1.1 200 OK"
2026-03-20 14:06:31,000 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen3-Embedding-4B/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-20 14:06:31,007 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Qwen/Qwen3-Embedding-4B/5cf2132abc99cad020ac570b19d031efec650f2b/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-20 14:06:31,243 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen3-Embedding-4B/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-20 14:06:31,250 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Qwen/Qwen3-Embedding-4B/5cf2132abc99cad020ac570b19d031efec650f2b/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-20 14:06:31,488 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen3-Embedding-4B/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-03-20 14:06:31,495 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/Qwen/Qwen3-Embedding-4B/5cf2132abc99cad020ac570b19d031efec650f2b/README.md "HTTP/1.1 200 OK"
2026-03-20 14:06:31,718 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/Qwen/Qwen3-Embedding-4B/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
