kol,companies_with_min_directional_mentions,companies_with_reversal,reversal_rate,ttf_count,ttf_median_days,ttf_p90_days,ttf_max_days
Adam_Khoo,245,116,0.47346938775510206,116,402.1981712962963,824.8164583333333,1276.208460648148
Ale_s_World_of_Stocks,373,180,0.48257372654155495,180,253.0206886574074,818.1171504629627,1416.5731481481482
Cameron_Stewart_CFA,109,35,0.3211009174311927,35,278.9446296296296,710.0226527777778,1282.9977546296295
Daniel_Pronk,155,72,0.4645161290322581,72,250.39771412037038,703.7422835648147,1131.0671296296296
Dividend_Data,270,124,0.45925925925925926,124,418.8584143518519,1090.7271828703704,1347.6168171296297
Everything_Money,28,9,0.32142857142857145,9,162.20979166666666,725.1874236111112,846.7879513888889
Financial_Education,289,190,0.657439446366782,190,209.1205613425926,624.5160914351852,1355.1190972222223
Humbled_Trader,57,17,0.2982456140350877,17,103.99997685185186,322.56947916666667,455.09356481481484
Invest_with_Henry,152,74,0.4868421052631579,74,211.40298611111112,541.0867152777778,862.5930439814815
Investing_with_Tom,116,42,0.3620689655172414,42,91.33229166666666,504.84610069444443,590.0624768518519
Joseph_Carlson,241,138,0.5726141078838174,138,134.8698900462963,640.0722222222222,1403.231435185185
Learn_to_Invest,107,42,0.3925233644859813,42,267.9114178240741,1235.3301956018518,1334.7501851851853
MarketBeat,341,125,0.36656891495601174,125,209.83416666666668,601.2228402777778,787.4408217592593
Sven_Carlin_Ph_D,186,94,0.5053763440860215,94,276.5208738425926,876.8290914351852,1246.8333912037037
The_Maverick_of_Wall_Street,699,461,0.6595135908440629,461,136.92800925925926,781.0138078703703,1263.8570138888888
Ticker_Take,205,29,0.14146341463414633,29,125.24407407407408,328.2449814814815,447.1032523148148
Tom_Nash,221,101,0.45701357466063347,101,147.22967592592593,776.9013310185185,1393.316875
Unrivaled_Investing,149,73,0.4899328859060403,73,184.99278935185185,489.0226828703704,812.140613425926
