kol,scope,gaps_count,gap_median_days,gap_p90_days,gap_max_days
Adam_Khoo,all,2141,27.264224537037038,260.8981365740741,1248.8887731481482
Adam_Khoo,positive_only,1319,24.242615740740742,239.12150462962964,1113.8393287037038
Adam_Khoo,negative_only,350,90.96543981481481,447.6245289351854,1117.9571180555556
Ale_s_World_of_Stocks,all,3889,22.27021990740741,213.9332939814815,1144.7758680555555
Ale_s_World_of_Stocks,positive_only,2553,20.916805555555555,184.10940972222224,1325.1141898148148
Ale_s_World_of_Stocks,negative_only,432,91.41631944444444,433.3977662037039,1141.7503240740741
Cameron_Stewart_CFA,all,483,38.104224537037034,294.00005787037037,801.1668518518519
Cameron_Stewart_CFA,positive_only,205,43.89799768518518,357.42643749999996,751.0376504629629
Cameron_Stewart_CFA,negative_only,113,36.23694444444445,385.2719212962963,801.1668518518519
Daniel_Pronk,all,1182,24.86550925925926,207.16682870370371,971.1254166666666
Daniel_Pronk,positive_only,617,27.067314814814814,226.86201620370355,1078.976863425926
Daniel_Pronk,negative_only,257,44.68958333333333,248.44978009259262,820.9897569444445
Dividend_Data,all,2371,28.000162037037036,321.54550925925923,1308.7558333333334
Dividend_Data,positive_only,1595,28.322256944444444,299.42823148148165,1179.8584027777779
Dividend_Data,negative_only,201,110.23956018518518,506.0123726851852,1039.0010648148148
Everything_Money,all,85,95.79148148148148,313.4245601851854,846.7879513888889
Everything_Money,positive_only,44,91.4483275462963,324.54050925925924,543.5068287037037
Everything_Money,negative_only,11,95.79148148148148,396.78818287037035,454.9782986111111
Financial_Education,all,3035,20.034027777777776,213.4904999999999,1312.1659722222223
Financial_Education,positive_only,1659,21.926053240740742,206.0683101851852,1127.080798611111
Financial_Education,negative_only,758,53.96014467592593,343.3163217592593,1281.8115625
Humbled_Trader,all,204,40.68630208333333,215.97509490740788,723.0100925925926
Humbled_Trader,positive_only,124,48.53375578703704,206.51395486111116,723.0100925925926
Humbled_Trader,negative_only,16,35.16165509259259,199.00520833333334,416.1036226851852
Invest_with_Henry,all,2402,7.07125,93.73970254629637,752.0834606481482
Invest_with_Henry,positive_only,1762,7.196203703703704,84.13597800925926,716.0208217592592
Invest_with_Henry,negative_only,190,47.87248842592592,313.6569328703703,751.104363425926
Investing_with_Tom,all,814,29.32667824074074,149.21033449074073,565.0209259259259
Investing_with_Tom,positive_only,392,26.853194444444444,159.9163773148148,475.95863425925927
Investing_with_Tom,negative_only,44,72.99717592592593,294.5656539351852,545.0000462962963
Joseph_Carlson,all,2770,14.971203703703704,207.11418287037029,1413.7955555555557
Joseph_Carlson,positive_only,1658,13.948599537037037,139.65325578703695,1060.0408449074075
Joseph_Carlson,negative_only,461,80.85957175925925,461.8735185185185,1413.7955555555557
Learn_to_Invest,all,662,42.40313078703704,426.24584837962897,1288.7085763888888
Learn_to_Invest,positive_only,411,49.878425925925924,507.0659953703704,1288.7085763888888
Learn_to_Invest,negative_only,46,76.8910011574074,891.9707870370371,1347.9583333333333
MarketBeat,all,2124,14.954392361111111,181.10362268518526,869.4256597222222
MarketBeat,positive_only,1529,17.043206018518518,204.44856018518524,790.3538773148148
MarketBeat,negative_only,155,37.98341435185185,307.0172638888888,695.1964583333333
Sven_Carlin_Ph_D,all,1115,41.33311342592592,354.63365740740744,1124.0009143518519
Sven_Carlin_Ph_D,positive_only,359,61.04134259259259,383.60023379629627,1332.0425694444446
Sven_Carlin_Ph_D,negative_only,393,64.95789351851852,437.7999930555557,1200.0418287037037
The_Maverick_of_Wall_Street,all,8956,16.00744212962963,169.16829282407406,1336.9468055555556
The_Maverick_of_Wall_Street,positive_only,2466,47.0288599537037,295.9480208333333,1336.9468055555556
The_Maverick_of_Wall_Street,negative_only,4286,20.0121875,212.5080150462963,1334.436099537037
Ticker_Take,all,681,18.153483796296296,177.14086805555556,591.9534722222222
Ticker_Take,positive_only,536,20.999600694444446,192.81986689814815,591.9534722222222
Ticker_Take,negative_only,10,106.98735532407409,300.98997685185185,300.98997685185185
Tom_Nash,all,2109,13.188993055555555,197.06130555555558,1186.8724189814816
Tom_Nash,positive_only,1097,10.041863425925927,209.09234259259253,944.1609837962963
Tom_Nash,negative_only,502,36.31596064814815,290.71693634259276,815.0510416666667
Unrivaled_Investing,all,801,39.0290625,241.11601851851853,727.1397569444445
Unrivaled_Investing,positive_only,412,42.99212962962963,252.80417129629643,744.9216087962963
Unrivaled_Investing,negative_only,136,75.25686921296295,346.0988425925926,721.0350578703703
