step,critic_loss,value_loss,actor_loss,loss_fit,loss_align,loss_entry,loss_rev,reward_mean,done_ratio,adv_mean,adv_std,weight_mean,weight_max,policy_abs_mean,baseline_abs_mean,behavior_abs_mean
100,4820.573258587164,11.248759310117102,0.0037624163683403823,0.0037544574250889793,0.00019897238807743635,0.0,0.0,0.0007251455505320337,0.0021875,-5.0132941164006475,5.1753622096590695,0.8726555074751378,17.87511020168662,0.00970523662865162,0.011406256041955203,0.014497223123908044
200,9684019.96140625,16603.97289703369,0.051060777994716776,0.05106064283005253,3.3740651097957654e-06,0.0,0.0,0.0007089527099742554,0.00234375,-163.82781078338624,234.35044990539552,14.014006766080856,100.0,0.012198547604493798,0.01217011102475226,0.015157899931073188
300,237085256.88,417039.1959570313,0.06918670429615303,0.06917721176985651,0.00023731103237910388,0.0,0.0,0.0008343108918052167,0.0020703125,-910.4815716552735,1240.1310220336914,18.947781229019164,100.0,0.01060321960831061,0.0113454035599716,0.014651267668232321
400,1007384788.48,3061035.99125,0.07678103208076209,0.07677616292610764,0.000121718875325314,0.0,0.0,0.0007390336199023295,0.0021875,-2437.025889892578,3324.777421875,19.06700235366821,100.0,0.011093357148347423,0.01157515377504751,0.01457655344158411
500,799535846.48,4442741.06,0.09778441226109863,0.09777680076658726,0.00019028618516131246,0.0,0.0,0.0007899679876572918,0.002109375,196.31835067749023,2898.339754638672,53.016036643981934,100.0,0.009862637703772634,0.01193476524669677,0.014978389283642172
600,328698907.6,1467007.551875,0.062032813872210685,0.062020934969186786,0.0002969723508067545,0.0,0.0,0.0007508955561206676,0.00203125,-302.0405292701721,1393.5241235351561,27.489946632385255,100.0,0.008878343944670632,0.011379883468616753,0.014631238877773284
700,200417873.8,827049.118125,0.025647669840836898,0.025633336750906892,0.0003583237420389196,0.0,0.0,0.0007430125535756815,0.00234375,-490.5853884887695,1111.4377563476562,20.959244937896727,100.0,0.008947575145866722,0.011768313306383789,0.014455172643065452
800,133282829.68,533750.2496875,0.01841179119059234,0.01839780547277769,0.00034964162194228265,0.0,0.0,0.0008454765842179768,0.00203125,-465.31925994873046,924.9531561279297,20.18015615463257,100.0,0.008883769193198532,0.011445021897088736,0.01480927393771708
900,90885921.16,392619.491875,0.010988058532529977,0.010973744952643756,0.00035783867839199956,0.0,0.0,0.0007070687141094822,0.0021875,-428.91502563476564,826.0616558837891,20.456924715042113,100.0,0.008917484859703109,0.011620092561934144,0.014771083407104015
1000,68017122.83,285745.75796875,0.0076120791883658966,0.007596277036127503,0.0003950547047861619,0.0,0.0,0.0007451771725027356,0.00234375,-385.6637481689453,716.374722290039,19.004352712631224,100.0,0.008773954762145876,0.01175036226864904,0.0145228052418679
1100,52255251.58,231500.8615625,0.00673404330649646,0.006719421524285281,0.00036554552913003135,0.0,0.0,0.0008746321417856961,0.001953125,-363.860950012207,654.0666317749024,19.184002981185913,100.0,0.008928222922841088,0.011566419408190996,0.014784700581803917
1200,39736410.25,185693.4475,0.004263932778485469,0.00424851922391099,0.0003853386970149586,0.0,0.0,0.000718377072334988,0.0022265625,-327.1205422973633,592.4795065307617,18.843052015304565,100.0,0.008584206206724048,0.011372961474116892,0.014514603773131967
1300,30800745.905,152243.945859375,0.004620340307519654,0.004603990451032587,0.00040874701837310566,0.0,0.0,0.000718291504890658,0.00234375,-292.4822871398926,542.7560961914063,18.927273292541503,100.0,0.009171166007872671,0.012161619840189814,0.015166724547743798
1400,24500910.8,126971.186875,0.003335610925751098,0.0033205991467184504,0.0003752943874860648,0.0,0.0,0.0008447196093038656,0.0020703125,-277.3846365356445,499.0747378540039,18.83561635017395,100.0,0.008689138756599277,0.011317692149896174,0.014637044547125697
1500,19624480.84,107792.589765625,0.0030420367277110925,0.003025599448301364,0.0004109320630959701,0.0,0.0,0.0007396916412108112,0.0021484375,-260.5978135681152,459.5966329956055,18.63370900154114,100.0,0.008556347824633121,0.011602987812366336,0.014600162664428352
1600,15160444.325,82061.7665625,0.0034329085323406617,0.0034168612615030724,0.00040118099088431335,0.0,0.0,0.0008012759189296048,0.002109375,-209.61951858520507,406.3490814208984,18.870496454238893,100.0,0.009074615053832532,0.011944840610958636,0.014977004518732429
1700,12405632.29,61414.7453515625,0.003293510189923836,0.0032769983494836197,0.00041279587137978526,0.0,0.0,0.0007349138442077674,0.00203125,-184.29732711791993,350.71750915527343,18.831357164382936,100.0,0.008412001981632784,0.011376208171714097,0.01456968743354082
1800,10075781.72,46814.191328125,0.0024587768044239057,0.002442269060829858,0.00041269336121331436,0.0,0.0,0.000735464194585802,0.0023828125,-162.26347023010254,306.6848025512695,18.58024534225464,100.0,0.008587929708883167,0.011733058695681394,0.014518969915807247
1900,7820987.8875,37720.8917578125,0.0029126702921348623,0.0028966440800286364,0.00040065550660074224,0.0,0.0,0.0008462596833123825,0.0020703125,-143.78701553344726,276.13646026611326,19.93966962814331,100.0,0.008672857866622507,0.011488118588458747,0.014802398448809982
2000,6081406.75625,26174.330947265626,0.002789039379276801,0.0027729234141008873,0.0004028990532970056,0.0,0.0,0.0006838837843679358,0.002109375,-107.67098602294922,230.97041275024415,21.113919105529785,100.0,0.008724229410290718,0.011648614483419806,0.014832336138933897
2100,4730885.27,17293.336240234374,0.002947050510410918,0.0029302821864257565,0.00041920831958123015,0.0,0.0,0.0007704047825245653,0.0023828125,-83.6896726989746,188.33224716186524,21.715390071868896,100.0,0.008620677127037197,0.011745847738347947,0.014476515101268888
2200,3714410.96125,12858.964541015624,0.0025428934101182675,0.002526689631131376,0.00040509501959604675,0.0,0.0,0.0008690655609825626,0.001953125,-72.12426666259766,162.54040573120116,23.682223892211915,100.0,0.00852300426340662,0.011493182543199509,0.014745636647567152
2300,2705515.548125,9063.731625976563,0.0024676939980417954,0.00245151134164189,0.00040456678769260177,0.0,0.0,0.0007326802551688161,0.0021875,-55.951696376800534,136.20791885375976,25.328167514801024,100.0,0.00858238541521132,0.011470404232386499,0.014550140583887696
2400,2040354.985625,5844.26982421875,0.004333276161632966,0.004315988994785584,0.0004321791823167587,0.0,0.0,0.000703420274076052,0.0023828125,-35.742419776916506,109.85139770507813,28.676491298675536,100.0,0.009017143428791315,0.012130492087453603,0.015162302553653717
2500,1506289.954375,3942.6212951660154,0.004228466318018036,0.004213073106511729,0.00038483051110233647,0.0,0.0,0.0008550379498046823,0.00203125,-28.89692925453186,90.63916717529297,31.053844566345216,100.0,0.008318219240754843,0.01130519987316802,0.014656487675383688
2600,1074401.78296875,2754.439686279297,0.0076216578422463495,0.007604811490746215,0.000421159647157765,0.0,0.0,0.0007360261394933332,0.0021484375,-23.703811674118043,75.79176860809326,31.880279693603516,100.0,0.008427202359307558,0.011561715684365481,0.014550416404381395
