step,critic_loss,value_loss,actor_loss,loss_fit,loss_align,loss_entry,loss_rev,reward_mean,done_ratio,adv_mean,adv_std,weight_mean,weight_max,policy_abs_mean,baseline_abs_mean,behavior_abs_mean
100,111.35892680289166,3.318289212034433,0.00041717357156812796,0.0004113778670895207,0.0001448926171178755,0.0,0.0,-0.0002265010909468401,0.0062890625,-2.6650455968204185,1.8880836129328236,0.6268352284096181,19.91495915055275,0.000975664567667991,0.002161675981769804,0.005062555852346122
200,137908.75873901366,3223.3978242874146,0.00525701205133771,0.005247220599874922,0.00024478556944814047,0.0,0.0,-0.00022779918033847936,0.005703125,-98.71348105430603,92.10318641662597,6.698059671053537,96.04867709228616,0.0007217665392090566,0.0023316931759472938,0.004693573534023016
300,903272.3817773438,18450.610322265624,0.01150508981279927,0.011496846115605927,0.0002060920420808543,0.0,0.0,-0.00023161633129348047,0.0063671875,-41.91137161254883,157.11478298187257,30.85112694501877,100.0,0.0006383471642038785,0.0020523173399851656,0.004918827540241182
400,137177.24743652344,1051.716241760254,0.004319475497236453,0.0043095541687984,0.00024803283011351593,0.0,0.0,-0.0002203962472231069,0.0057421875,-17.47330301165581,39.61003070831299,27.292229022979736,100.0,0.0008258946225396357,0.0025230639119399713,0.004871102860197425
500,73167.93805664062,384.37041015625,0.0028478886310040253,0.0028398032748073376,0.000202134140781709,0.0,0.0,-0.00023071441188221798,0.0061328125,-13.082649925351143,22.784728622436525,21.911890306472777,100.0,0.000607071063714102,0.0019926153708365747,0.004854326967615634
600,46800.296430664064,184.9937351989746,0.002866387902504357,0.0028563359752209294,0.0002512981204426978,0.0,0.0,-0.00023970122971149975,0.0058984375,-6.928599824309349,16.82937569618225,26.267480220794678,100.0,0.0008503468835260719,0.0025462359455559634,0.0048949753772467375
700,22319.790196533202,109.51700176239014,0.003063987889490818,0.003055914599615477,0.00020183262332921004,0.0,0.0,-0.00021895241836318745,0.0058203125,-5.238581565022469,12.78597116470337,24.496435108184816,100.0,0.0005885828885948285,0.0019743577605549944,0.0048481682944111525
800,16126.875307617187,42.853820095062254,0.0023620434675785873,0.0023518069031652545,0.0002559141687970623,0.0,0.0,-0.0002244796218838019,0.006328125,-2.648550434857607,7.72939823627472,27.08812454223633,100.0,0.0008367263292893768,0.0025572980041761186,0.004991295977961272
900,6121.18794555664,16.518954367637633,0.0026926675925278685,0.0026846775618014364,0.00019975119653736328,0.0,0.0,-0.00024466466249577933,0.0055859375,-0.026789263784885407,5.365208406448364,38.19107900619507,100.0,0.0006401453251601197,0.0020321212877024665,0.004726159411948174
1000,3829.67153137207,6.86533251285553,0.0030888225322269138,0.00307886312752089,0.0002489856118518219,0.0,0.0,-0.00021337470765502074,0.0062890625,0.4906762453913689,3.686133975982666,41.08964828491211,100.0,0.0008224130043527111,0.0024872420716565103,0.005081784212961793
1100,1256.9640118408204,3.9489970111846926,0.003175118071394536,0.003166792060055741,0.00020815073205085355,0.0,0.0,-0.00023469900603231508,0.0056640625,0.2090565898269415,2.916513659954071,35.2062215423584,100.0,0.0006193568740854971,0.0020462767250137405,0.004683149829506874
1200,613.3493494033813,3.112210257053375,0.004969501234663767,0.004959888369121472,0.00024032199200519245,0.0,0.0,-0.00022524072794112725,0.00640625,-0.03240532509982586,2.61663302898407,30.625319414138794,100.0,0.0008145407476695255,0.0024428129076841287,0.0050820740219205615
1300,198.84809761047364,2.122125903367996,0.004960429541570193,0.004951506949655595,0.00022306581156954054,0.0,0.0,-0.00022652531421044842,0.0056640625,-0.23998322036117314,2.176074888706207,24.390725402832032,100.0,0.0006637911923462525,0.002172135575674474,0.004527060196269303
1400,74.95602020263672,1.6414985299110412,0.005622713280317839,0.0056137180389487186,0.00022488092263301952,0.0,0.0,-0.00023516305267548887,0.00640625,-0.32359277695417404,1.9164491820335388,21.065311107635498,100.0,0.0007941686594858765,0.002336134452198166,0.00514548578299582
1500,26.350187377929686,1.1396716529130935,0.004151763101654069,0.004142456712943385,0.0002326594260193815,0.0,0.0,-0.0002258218565293646,0.0055859375,-0.37079052116721867,1.6080673408508301,15.651753997802734,100.0,0.0007138778545777313,0.0022775609628297388,0.004587862240150571
1600,13.41512511730194,0.9057344114780426,0.004794948792477953,0.004786482791023445,0.0002116495767404558,0.0,0.0,-0.0002396298215535353,0.0063671875,-0.36552388068288566,1.437618007659912,12.60465615272522,100.0,0.000756876410159748,0.00223324987833621,0.005059208718594163
1700,6.293783483505249,0.7009071862697601,0.003885604123279336,0.003876466565125156,0.0002284393691115838,0.0,0.0,-0.00023331344773396266,0.005859375,-0.365677423030138,1.2683231568336486,9.302455406188965,100.0,0.0007566856907214969,0.0023149102210300045,0.004687055042013526
1800,4.732949756383896,0.5859350681304931,0.003604979105075472,0.0035969194067729405,0.0002014924254399375,0.0,0.0,-0.00021375336982600856,0.006171875,-0.33103403091430667,1.1606302893161773,7.9190512466430665,100.0,0.0007398656103760004,0.002152426236134488,0.005074460098985583
