step,critic_loss,value_loss,actor_loss,loss_fit,loss_align,loss_entry,loss_rev,reward_mean,done_ratio,adv_mean,adv_std,weight_mean,weight_max,policy_abs_mean,baseline_abs_mean,behavior_abs_mean
100,3596.346078173756,30.635777343089504,0.010511129197511763,0.010501422627567081,0.00024266178439575015,0.0,0.0,-0.0002654616122163134,0.0117578125,-4.46240788642317,5.50342147980351,5.2340390615165235,43.16851828157902,0.007540398988639936,0.01013994076056406,0.014094609832391143
200,2276785.3605078124,16861.365698547364,0.048332835165783766,0.04832216333597898,0.00026679253889597024,0.0,0.0,-0.0002732876066875178,0.0116796875,-135.7819836997986,181.5975546646118,17.482353954315187,100.0,0.007383804449927993,0.010177757993806153,0.014164177430793644
300,10287545.605,83624.568125,0.06407815681770444,0.06406241872347891,0.00039344885051832533,0.0,0.0,-0.00026876052470470313,0.011484375,-133.9592068862915,407.66263931274415,33.471371035575864,100.0,0.006562528467620723,0.010250300951302051,0.014160925848409533
400,2399865.3025,24945.393115234376,0.028437540200538933,0.028415987062035127,0.0005388274815049953,0.0,0.0,-0.00026715015519584995,0.012109375,-99.37543338775635,203.4139028930664,30.903377265930175,100.0,0.005298810706008226,0.010265956509392708,0.014196483343839645
500,890105.301875,10795.167685546876,0.017339917675126344,0.01731884513515979,0.0005268141237320379,0.0,0.0,-0.00027297970867948604,0.0115234375,-80.29325664520263,144.3532448577881,29.425586433410643,100.0,0.005336042472627014,0.010185582258272916,0.014170847302302718
600,455822.251875,6113.588845214844,0.01286930518806912,0.012847582165850326,0.000543076683243271,0.0,0.0,-0.00027830812941829206,0.011640625,-63.11142551422119,111.46868339538574,29.237423667907716,100.0,0.005311902532121167,0.01017089224420488,0.014064036030322313
700,254513.3459375,3517.4234375,0.011726786525105126,0.011704937441973016,0.0005462281742074993,0.0,0.0,-0.0002565585776028456,0.0119921875,-47.548672695159915,85.3129236984253,30.14834098815918,100.0,0.005379011870827526,0.010265780396293849,0.014200788838788867
800,136270.098671875,1832.8682580566406,0.010447244764654896,0.010426183501258492,0.000526531388022704,0.0,0.0,-0.00027776059323514346,0.0115625,-33.34681463241577,62.10197086334229,31.524508934020997,100.0,0.00530778894899413,0.010149222987238318,0.014142876686528326
900,70695.71203125,961.3151568603515,0.013210213648853823,0.013189125826465897,0.000527194890746614,0.0,0.0,-0.0002677252125431551,0.0118359375,-22.176386795043946,44.8942649269104,34.58764043807983,100.0,0.00523829874000512,0.010233042733743787,0.014104248639196158
1000,30820.398544921874,306.6301737976074,0.014770142285851762,0.014748949884669856,0.0005298095518082846,0.0,0.0,-0.0002692389997537248,0.0116015625,-9.940069136619568,25.157519931793214,38.05548284530639,100.0,0.0053473858116194605,0.010225739262532443,0.014209902631118893
1100,11617.691611328126,116.42029434204102,0.019215647071832792,0.019195360688026995,0.000507160232955357,0.0,0.0,-0.0002695945566665614,0.011640625,-4.3997870028018955,15.676165971755982,40.779428215026854,100.0,0.005504492814652622,0.010229597697034479,0.0141335276234895
1200,4013.4828381347656,58.08581932067871,0.02393403969705105,0.02391325982287526,0.0005194977362407372,0.0,0.0,-0.0002670257326826686,0.011953125,-2.1026413637399672,11.36276035308838,42.428385467529296,100.0,0.005467484410619363,0.010212652783375234,0.014169193869456649
1300,1265.2145825195312,33.874090309143064,0.025346142528578638,0.02532529828604311,0.0005211069765209686,0.0,0.0,-0.00027249411345110276,0.011484375,-1.275699237883091,8.791905827522278,42.123920860290525,100.0,0.005453220710624009,0.010196994200814515,0.014175971942022443
1400,439.0382405090332,20.182368249893187,0.025232194710988552,0.025210936937946828,0.0005314425950928125,0.0,0.0,-0.0002854654132534051,0.0116796875,-1.0045058186352254,6.7774369478225704,40.19373571395874,100.0,0.005473021324723959,0.010253542950376868,0.014110091039910913
1500,187.83406364440918,12.910154190063476,0.023788087262073532,0.02376673632010352,0.000533774650975829,0.0,0.0,-0.00025302362082584294,0.0119921875,-0.988227402716875,5.3982977771759035,36.057390995025635,100.0,0.005538147136103361,0.010247425890993327,0.014198412057012319
1600,107.66211898803711,9.108736338615417,0.022245057709224057,0.022224402221036145,0.0005163870489923283,0.0,0.0,-0.0002713503931590822,0.0115234375,-0.9450833878666163,4.531323587894439,32.15110918045044,100.0,0.0055526095058303325,0.010183042262215168,0.014159432305023074
1700,84.67209880828858,7.048613014221192,0.02404076863953378,0.024019549310905858,0.0005304857714509126,0.0,0.0,-0.0002804538253985811,0.0116796875,-0.9050618869066238,3.985794773101807,28.023850231170655,100.0,0.005484557562740519,0.010165019622072578,0.014070123629644514
1800,73.45805168151855,5.747436847686767,0.02393846661725547,0.023917484375997448,0.0005245552567066624,0.0,0.0,-0.0002544010193378199,0.0118359375,-0.8748856773972511,3.592830035686493,24.940528507232667,100.0,0.005627861733082682,0.010238348280545324,0.014186136182397604
1900,65.50501960754394,4.8833527398109435,0.023252474807668476,0.023231282235356046,0.0005298151030729059,0.0,0.0,-0.0002811690381349763,0.0116796875,-0.831543202996254,3.3118662142753603,22.78742654800415,100.0,0.005589012384880334,0.010266750426962972,0.01417149149812758
2000,61.82473403930664,4.247771899700165,0.022707968895556405,0.022687397626577878,0.0005142816746956669,0.0,0.0,-0.0002654616122163134,0.0117578125,-0.7914107218384743,3.0879103636741636,20.92042857170105,100.0,0.005577366905054077,0.01013994076056406,0.014094609832391143
2100,58.27108636856079,3.777129044532776,0.02242398157948628,0.022402867178898306,0.0005278619249293115,0.0,0.0,-0.0002732876066875178,0.0116796875,-0.7589528480172157,2.91064829826355,19.62992922782898,100.0,0.005515082449419424,0.010177757993806153,0.014164177430793644
2200,53.71925563812256,3.3776304650306703,0.021823084271745757,0.021803129150066526,0.0004988784660235979,0.0,0.0,-0.00026876052470470313,0.011484375,-0.730601586997509,2.7528028178215025,18.153754415512086,100.0,0.005792530479375273,0.010250300951302051,0.014160925848409533
2300,53.82627927780151,3.0840349686145783,0.02144652774790302,0.021426903336541726,0.0004906106667476706,0.0,0.0,-0.00026715015519584995,0.012109375,-0.709117764532566,2.6320028376579283,16.78034779548645,100.0,0.005680191357387229,0.010265956509392708,0.014196483343839645
2400,49.15366180419922,2.7969509077072146,0.0206377791124396,0.020617256184341386,0.0005130734427075367,0.0,0.0,-0.00027297970867948604,0.0115234375,-0.6811968956887722,2.5043304324150086,15.823182735443115,100.0,0.005491872812272049,0.010185582258272916,0.014170847302302718
2500,48.58697881698608,2.536831830739975,0.020463168134447186,0.020443456384819002,0.0004927975655300543,0.0,0.0,-0.00027830812941829206,0.011640625,-0.6484786285459996,2.388654624223709,15.148224153518676,100.0,0.005628795771626755,0.01017089224420488,0.014064036030322313
2600,47.40999855041504,2.3735321807861327,0.020059523910749704,0.020038363900966943,0.0005289988039294258,0.0,0.0,-0.0002565585776028456,0.0119921875,-0.6460312949120999,2.307978694438934,14.120959205627441,100.0,0.005284127979539335,0.010265780396293849,0.014200788838788867
2700,44.24946608543396,2.1759666979312895,0.01975961890304461,0.019740360181313008,0.000481467665231321,0.0,0.0,-0.00027776059323514346,0.0115625,-0.6197335042059422,2.2088342368602754,13.591534490585326,100.0,0.005736242979182861,0.010149222987238318,0.014142876686528326
2800,44.161034955978394,1.9943805265426635,0.01930260032764636,0.01928172164829448,0.0005219673157989746,0.0,0.0,-0.0002677252125431551,0.0118359375,-0.5828500216454268,2.1166788077354433,13.022179832458496,100.0,0.005432527957018465,0.010233042733743787,0.014104248639196158
2900,42.18714891433716,1.834697526693344,0.017937879221863115,0.017920408498030158,0.00043676758570654784,0.0,0.0,-0.0002692389997537248,0.0116015625,-0.5987893000245095,2.028980038166046,11.910867910385132,100.0,0.005950181289808825,0.010225739262532443,0.014209902631118893
3000,40.08354850769043,1.6276101458072663,0.017594213865231724,0.017577283582650125,0.0004232573420449626,0.0,0.0,-0.0002695945566665614,0.011640625,-0.5557113417237997,1.919039604663849,11.33469373703003,100.0,0.005846302140271291,0.010229597697034479,0.0141335276234895
3100,39.79461200714111,1.4364316773414612,0.015922318366356193,0.01590407359879464,0.00045611807669047264,0.0,0.0,-0.0002670257326826686,0.011953125,-0.5489211661368608,1.8059915208816528,10.14732584953308,100.0,0.005724050033604726,0.010212652783375234,0.014169193869456649
3200,36.974048929214476,1.2757360696792603,0.01539313574321568,0.015375676816911437,0.0004364732647081837,0.0,0.0,-0.00027249411345110276,0.011484375,-0.5163835161924362,1.7028487193584443,9.446740078926087,100.0,0.005832574522355571,0.010196994200814515,0.014175971942022443
3300,36.87005533218384,1.142668880224228,0.014532426033983938,0.01451523680210812,0.0004297290174872614,0.0,0.0,-0.0002854654132534051,0.0116796875,-0.48112716220319274,1.613223661184311,8.79369390964508,100.0,0.005937768885632977,0.010253542950376868,0.014110091039910913
3400,35.693075847625735,1.039708021879196,0.012945823664194904,0.01292788304243004,0.0004485159674368333,0.0,0.0,-0.00025302362082584294,0.0119921875,-0.4844164464622736,1.5406039512157441,7.8586368227005,100.0,0.00591900288593024,0.010247425890993327,0.014198412057012319
3500,32.923248777389524,0.9432487833499908,0.012335917091113514,0.012318456070497632,0.0004365251390845515,0.0,0.0,-0.0002713503931590822,0.0115234375,-0.4441688157245517,1.4639127802848817,7.435662112236023,100.0,0.005851965196197853,0.010183042262215168,0.014159432305023074
3600,32.821514225006105,0.8642942768335342,0.011337045935506466,0.011319327866949606,0.0004429525096202269,0.0,0.0,-0.0002804538253985811,0.0116796875,-0.42330461576581,1.4045296895503998,7.055676882266998,100.0,0.005800606168340891,0.010165019622072578,0.014070123629644514
3700,31.286404972076415,0.8008551183342933,0.010302219348959625,0.010284586749621667,0.0004408151627285406,0.0,0.0,-0.0002544010193378199,0.0118359375,-0.4339214337989688,1.3489006769657135,6.396245083808899,100.0,0.005967233458068222,0.010238348280545324,0.014186136182397604
3800,30.158333196640015,0.749042095541954,0.011128775365068577,0.011111164955364074,0.00044026220683008433,0.0,0.0,-0.0002811690381349763,0.0116796875,-0.38859103139489887,1.306011083126068,6.549577775001526,100.0,0.005878449680749327,0.010266750426962972,0.01417149149812758
3900,33.74946459770203,1.502553939819336,0.018659611556722668,0.018640393201058033,0.0004804599442286417,0.0,0.0,-0.0002654616122163134,0.0117578125,-0.564606547690928,1.7600389420986176,12.691640059947968,100.0,0.005650712633505464,0.01013994076056406,0.014094609832391143
4000,91.58404172897339,7.639820303916931,0.023373207517324773,0.02335238718416349,0.000520506347384071,0.0,0.0,-0.0002732876066875178,0.0116796875,-1.5010694341734052,4.038240931034088,22.47702971935272,100.0,0.00532344808569178,0.010177757993806153,0.014164177430793644
4100,54.49801357269287,5.341567850112915,0.034306315523572266,0.03428669073968194,0.0004906199710967485,0.0,0.0,-0.00026876052470470313,0.011484375,-0.5315436136722564,3.469386389255524,27.393427901268005,100.0,0.005713352081365883,0.010250300951302051,0.014160925848409533
4200,32.52096314430237,1.653800711631775,0.019340710347460117,0.019320458315778524,0.0005062967790581751,0.0,0.0,-0.00026715015519584995,0.012109375,-0.6875204904004931,1.9706203019618989,14.116605474948884,100.0,0.00553358260076493,0.010265956509392708,0.014196483343839645
4300,29.054011611938478,1.1343522655963898,0.015161260025342927,0.015141365846502594,0.00049735357722966,0.0,0.0,-0.00027297970867948604,0.0115234375,-0.5927236148715019,1.61452143907547,10.631687738895415,100.0,0.005522646229364909,0.010185582258272916,0.014170847302302718
4400,27.72571217060089,1.0840805357694625,0.02345162293757312,0.023432602701650467,0.0004755059014132712,0.0,0.0,-0.00027830812941829206,0.011640625,-0.3415421641245484,1.5998251366615295,15.00157487154007,100.0,0.005814007077133283,0.01017089224420488,0.014064036030322313
4500,37.40494201660156,2.0226999658346174,0.01717345961224055,0.017154547626196292,0.00047279785256250763,0.0,0.0,-0.0002565585776028456,0.0119921875,-1.013821339160204,2.2363783490657805,14.082156994342803,100.0,0.006101947628194466,0.010265780396293849,0.014200788838788867
4600,120.70457145690918,8.564648294448853,0.03346400439157151,0.03344405343814287,0.0004987741136574187,0.0,0.0,-0.00027776059323514346,0.0115625,-0.8892018813639879,4.5204109966754915,28.881433639526367,100.0,0.00568588100024499,0.010149222987238318,0.014142876686528326
4700,233.65873657226564,24.502207560539247,0.04033559539064299,0.04031437863479368,0.000530423510062974,0.0,0.0,-0.0002677252125431551,0.0118359375,-1.294888105019927,7.8576472067832945,37.42531513690948,100.0,0.005700143404537812,0.010233042733743787,0.014104248639196158
4800,213.06138175964355,22.901836891174316,0.03034517786669312,0.030323868020786904,0.0005327464459696785,0.0,0.0,-0.0002692389997537248,0.0116015625,-2.363479679003358,7.810456893444061,31.0713401222229,100.0,0.005571839027106762,0.010225739262532443,0.014209902631118893
4900,137.807301902771,12.133558831214906,0.028059382974752224,0.02803879753977526,0.0005146381956001278,0.0,0.0,-0.0002695945566665614,0.011640625,-1.562503035441041,5.615679256916046,29.617840037345886,100.0,0.005519422062207013,0.010229597697034479,0.0141335276234895
5000,63.63403402328491,5.521604568958282,0.03275758274976397,0.03273735647919238,0.0005056603939738125,0.0,0.0,-0.0002670257326826686,0.011953125,-0.6161738646402956,3.7552884006500244,29.27643906593323,100.0,0.00595974269323051,0.010212652783375234,0.014169193869456649
5100,40.26884330749512,3.083263292312622,0.021965725640620805,0.02194601935101673,0.0004926570771203842,0.0,0.0,-0.00027249411345110276,0.011484375,-0.9170275885239243,2.804870549440384,18.94998780965805,100.0,0.006067296216497198,0.010196994200814515,0.014175971942022443
5200,49.23041761398316,2.8750573909282684,0.018570266909955536,0.018549880444334123,0.00050965791233466,0.0,0.0,-0.0002854654132534051,0.0116796875,-0.967775425799191,2.7170581042766573,17.82036867618561,100.0,0.005848796835634857,0.010253542950376868,0.014110091039910913
5300,65.42697525024414,5.330017790794373,0.03249454226403031,0.03247364769355045,0.000522367282101186,0.0,0.0,-0.00025302362082584294,0.0119921875,-0.5683436815068126,3.6970766139030458,29.712638521194457,100.0,0.005763603543164209,0.010247425890993327,0.014198412057012319
5400,129.4376611328125,12.005817816257476,0.02567663609457668,0.02565574322747125,0.0005223180740722455,0.0,0.0,-0.0002713503931590822,0.0115234375,-1.8740596413612365,5.594393293857575,26.323357355594634,100.0,0.00578224188182503,0.010183042262215168,0.014159432305023074
5500,379.5117821502686,29.84120707511902,0.02880038701776357,0.028779634833481397,0.000518802860751748,0.0,0.0,-0.0002804538253985811,0.0116796875,-2.7863607348501684,8.69863465309143,32.9153296327591,100.0,0.0058376206236425785,0.010165019622072578,0.014070123629644514
