step,critic_loss,value_loss,actor_loss,loss_fit,loss_align,loss_entry,loss_rev,reward_mean,done_ratio,adv_mean,adv_std,weight_mean,weight_max,policy_abs_mean,baseline_abs_mean,behavior_abs_mean
100,9.134350128946535,0.48069452458447814,0.0001635628672738676,0.00015300321554896358,0.00010559652092752003,0.0,0.0,-0.0006376235137577168,0.0030859375,-0.6587630878118216,0.4876360233314335,0.6900954599771648,2.924059453010559,0.0010616042575566098,0.0021645904495380818,0.002807258966495283
200,64707.49162094116,1483.9614163923263,0.002863981375113947,0.002855735807865327,8.24556035280466e-05,0.0,0.0,-0.0005930245692434256,0.0032421875,-66.90741284370422,67.3616300535202,6.611264645569026,97.12378329277038,0.0010614102863473818,0.0019704514486511473,0.002803500383743085
300,808649.736953125,23186.404650878907,0.00414824592709067,0.0041371787659500656,0.00011067152021041692,0.0,0.0,-0.0005340305194840766,0.002421875,-88.26220479488373,232.08311851501466,30.248832926750183,100.0,0.0008875621795596089,0.0020362429712258746,0.0029146523855160924
400,257590.25080566405,12835.264826660155,0.0032233566028247295,0.0032083425439224556,0.00015014064158492602,0.0,0.0,-0.0006086714650155045,0.0029296875,-54.29715912818909,122.46717224121093,20.773008480072022,100.0,0.0007779141364153474,0.002106432403306826,0.0027914380829315633
500,139621.1823828125,1047.2309014892578,0.0012448979817258987,0.0012308286319123907,0.00014069359351964294,0.0,0.0,-0.0005502335547498661,0.00359375,-20.342933659553527,38.75634916305542,26.67352964401245,100.0,0.0007853991296724416,0.0021155313738563564,0.0029395432444289326
600,84619.5646118164,648.7366946411133,0.0020188993015031543,0.00200523438920864,0.00013664907062540976,0.0,0.0,-0.0007452981878304854,0.003359375,-16.620657444000244,31.3985852432251,24.359695930480957,100.0,0.0007043022444122471,0.0019549758167704567,0.002888062718848232
700,51789.65155029297,372.1928411865234,0.002016941136644164,0.002002874301700626,0.0001406681936168752,0.0,0.0,-0.000545580472171423,0.0031640625,-11.752736382484436,24.017978191375732,25.503469009399414,100.0,0.000707814066845458,0.0019310843921266495,0.002780275292461738
800,36155.01850097656,176.2469596862793,0.0015498401420234132,0.0015343514716903428,0.0001548867408382648,0.0,0.0,-0.0006456386839272455,0.0033984375,-6.671965074539185,17.18335430145264,30.467111015319823,100.0,0.0008380261831916868,0.002243683356209658,0.003016642436850816
900,17888.289841308593,79.30838638305664,0.0022322609892808033,0.002218054054496008,0.00014206933593982285,0.0,0.0,-0.0005987289795302786,0.0032421875,-1.8785863007605075,12.198461608886719,40.83133134841919,100.0,0.0007567676229518839,0.002047861725804978,0.0027999090688535944
1000,11410.729036865234,45.041055564880374,0.0016772623486258453,0.0016633676577569646,0.00013894689635250755,0.0,0.0,-0.000566452476195991,0.0030078125,-0.36107479616999627,9.565289435386658,46.28744655609131,100.0,0.00077827692264691,0.002027509480831213,0.002842070840415545
1100,5308.285880737305,22.045356273651123,0.0015801009426218116,0.0015661527859168701,0.0001394815507842395,0.0,0.0,-0.0005178877199796261,0.0021875,-0.06678372636437416,6.745394501686096,44.40720897674561,100.0,0.0007608202795381658,0.002055743888267898,0.002785452912794426
1200,4968.816619567871,12.694927077293396,0.001596497843938778,0.0015819602358624252,0.00014537616771804096,0.0,0.0,-0.0006984291996195679,0.0034375,0.6871530474722385,5.224974508285523,48.51135757446289,100.0,0.0007658887175784911,0.0020737646947964093,0.0027955640107393265
1300,1862.5406274414063,7.42332293510437,0.0017673557455418632,0.001753113179383945,0.00014242574900777072,0.0,0.0,-0.0005889558421768016,0.0033984375,0.8005035853385926,4.195127131938935,47.789322471618654,100.0,0.0007932242710376159,0.002104949466593098,0.0030090839613694698
1400,493.5372770690918,4.208683278560638,0.0020486682267073773,0.0020353179897983865,0.00013350235780421827,0.0,0.0,-0.0006023032685334329,0.0033203125,0.3232985807955265,3.386723656654358,40.25699878692627,100.0,0.0007117570102855098,0.0019694164719840047,0.002837064778141212
1500,99.44983951568604,2.767094495296478,0.001804903204592847,0.0017918474802172569,0.00013055711966217132,0.0,0.0,-0.0005965101005131146,0.003203125,-0.5071689982712269,2.6171271085739134,25.334825563430787,100.0,0.0008525724656647071,0.002033496280491818,0.002909669778891839
