ticker,n_signals,flips,has_flip,first_flip_gap_days
AAPL,38,4,True,29.0
ADBE,12,0,False,
AVGO,3,1,True,86.0
AXP,9,0,False,
AZO,2,0,False,
BA,11,3,True,68.0
BAC,4,0,False,
BRK-B,25,0,False,
CME,4,0,False,
CRM,2,0,False,
CRWD,2,1,True,42.0
CTAS,4,2,True,46.0
DLTR,3,0,False,
EBAY,4,0,False,
GNRC,8,2,True,84.0
GOOG,2,0,False,
HD,8,1,True,140.0
HPQ,2,0,False,
HSY,3,0,False,
INTC,22,9,True,4.0
JNJ,8,0,False,
KO,16,0,False,
KR,4,0,False,
LOW,5,1,True,140.0
LUV,17,0,False,
MA,5,0,False,
MCD,6,0,False,
MMM,7,2,True,9.0
MNST,2,0,False,
MSFT,57,8,True,15.0
NFLX,2,1,True,7.0
NKE,16,1,True,6.0
NVDA,42,20,True,1.0
NVR,3,0,False,
ORCL,5,0,False,
PANW,3,0,False,
PEP,4,1,True,141.0
PFE,3,1,True,0.0
PG,3,0,False,
POOL,2,0,False,
PYPL,16,0,False,
QCOM,2,0,False,
SBUX,21,2,True,22.0
SCHW,3,0,False,
SHW,4,2,True,46.0
T,2,1,True,11.0
TGT,14,5,True,4.0
TROW,9,6,True,13.0
TSLA,33,9,True,13.0
UAA,3,0,False,
ULTA,6,0,False,
V,13,0,False,
WMT,10,2,True,33.0
XYZ,2,0,False,
