ticker,n_signals,mean_gap_days,median_gap_days,max_gap_days,tail_silence_days,tail_silence_pos_days,tail_silence_neg_days,first_date,last_date
AAPL,38,4.864864864864865,3.0,17.0,0,0.0,63.0,2024-01-02 15:00:05,2024-07-15 09:55:00
ADBE,12,13.181818181818182,9.0,34.0,38,38.0,,2024-01-05 15:00:42,2024-06-06 10:00:58
AVGO,3,81.0,81.0,86.0,27,191.0,27.0,2024-01-05 15:00:42,2024-06-17 10:00:06
AXP,9,19.5,16.5,51.0,26,26.0,,2024-01-08 15:00:15,2024-06-18 10:00:20
AZO,2,15.0,15.0,15.0,38,38.0,,2024-05-22 10:00:43,2024-06-06 10:00:58
BA,11,14.3,3.0,68.0,19,77.0,19.0,2024-01-31 22:02:04,2024-06-25 10:00:25
BAC,4,34.666666666666664,38.0,60.0,85,146.0,,2024-01-04 15:00:42,2024-04-20 11:55:00
BRK-B,25,6.416666666666667,4.5,21.0,27,27.0,,2024-01-04 15:00:42,2024-06-17 10:00:06
CME,4,21.333333333333332,28.0,32.0,130,,,2024-01-01 15:00:27,2024-03-06 18:07:15
CRM,2,54.0,54.0,54.0,136,136.0,,2024-01-05 15:00:42,2024-02-29 13:00:48
CRWD,2,42.0,42.0,42.0,136,136.0,179.0,2024-01-17 15:00:51,2024-02-29 13:00:48
CTAS,4,30.666666666666668,33.0,46.0,94,94.0,141.0,2024-01-08 15:00:15,2024-04-11 10:00:26
DLTR,3,24.5,24.5,29.0,74,,,2024-03-12 12:00:37,2024-05-02 09:55:00
EBAY,4,21.666666666666668,15.0,49.0,45,,,2024-03-23 14:00:10,2024-05-30 10:00:14
GNRC,8,22.428571428571427,20.0,47.0,26,26.0,103.0,2024-01-08 15:00:15,2024-06-18 10:00:20
GOOG,2,12.0,12.0,12.0,134,134.0,,2024-02-19 13:00:38,2024-03-02 15:00:22
HD,8,26.571428571428573,23.0,55.0,0,48.0,0.0,2024-01-05 15:00:42,2024-07-15 09:55:00
HPQ,2,140.0,140.0,140.0,12,,,2024-02-13 13:00:05,2024-07-03 09:55:00
HSY,3,27.0,27.0,45.0,94,94.0,,2024-02-15 13:00:00,2024-04-11 10:00:26
INTC,22,7.380952380952381,6.0,28.0,12,20.0,12.0,2024-01-21 13:00:35,2024-07-03 09:55:00
JNJ,8,20.857142857142858,11.0,55.0,40,40.0,,2024-01-05 15:00:42,2024-06-04 10:00:19
KO,16,11.666666666666666,9.0,40.0,0,0.0,,2024-01-16 16:00:23,2024-07-15 09:55:00
KR,4,53.333333333333336,35.0,114.0,26,,26.0,2024-01-08 15:00:15,2024-06-18 10:00:20
LOW,5,46.25,46.5,79.0,0,94.0,0.0,2024-01-08 15:00:15,2024-07-15 09:55:00
LUV,17,9.9375,8.5,28.0,19,19.0,,2024-01-11 15:00:35,2024-06-25 10:00:25
MA,5,25.5,12.0,70.0,83,94.0,,2024-01-08 15:00:15,2024-04-23 09:55:00
MCD,6,37.0,40.0,76.0,0,40.0,,2024-01-08 15:00:15,2024-07-15 09:55:00
MMM,7,25.833333333333332,28.0,47.0,26,26.0,104.0,2024-01-11 15:00:35,2024-06-18 10:00:20
MNST,2,110.0,110.0,110.0,20,20.0,,2024-03-05 13:00:48,2024-06-24 10:00:44
MSFT,57,2.982142857142857,2.0,12.0,5,26.0,52.0,2024-01-02 15:00:05,2024-07-10 09:55:00
NFLX,2,7.0,7.0,7.0,172,172.0,180.0,2024-01-16 16:00:23,2024-01-24 13:00:52
NKE,16,12.533333333333333,7.0,31.0,0,0.0,194.0,2024-01-02 15:00:05,2024-07-15 09:55:00
NVDA,42,4.2439024390243905,4.0,20.0,4,12.0,4.0,2024-01-04 15:00:42,2024-07-11 09:55:00
NVR,3,23.0,23.0,31.0,7,7.0,,2024-05-22 10:00:43,2024-07-08 09:55:00
ORCL,5,19.5,18.5,38.0,56,56.0,,2024-02-29 13:00:48,2024-05-19 11:30:33
PANW,3,21.5,21.5,23.0,44,44.0,,2024-04-17 10:00:45,2024-05-31 10:00:18
PEP,4,56.666666666666664,29.0,125.0,20,67.0,20.0,2024-01-04 15:00:42,2024-06-24 10:00:44
PFE,3,26.0,26.0,52.0,77,130.0,129.0,2024-03-06 18:07:15,2024-04-29 09:55:00
PG,3,47.5,47.5,55.0,94,94.0,,2024-01-05 15:00:42,2024-04-11 10:00:26
POOL,2,13.0,13.0,13.0,174,174.0,,2024-01-08 15:00:15,2024-01-22 13:00:06
PYPL,16,11.466666666666667,11.0,31.0,13,13.0,,2024-01-01 15:00:27,2024-07-01 10:00:50
QCOM,2,126.0,126.0,126.0,31,158.0,,2024-02-07 13:00:24,2024-06-13 10:00:27
SBUX,21,9.0,8.0,22.0,0,0.0,165.0,2024-01-08 15:00:15,2024-07-15 09:55:00
SCHW,3,46.5,46.5,79.0,10,104.0,,2024-04-01 10:00:41,2024-07-05 09:55:00
SHW,4,30.666666666666668,33.0,46.0,94,94.0,141.0,2024-01-08 15:00:15,2024-04-11 10:00:26
T,2,11.0,11.0,11.0,153,165.0,153.0,2024-01-31 22:02:04,2024-02-12 13:00:40
TGT,14,14.0,14.0,30.0,0,26.0,0.0,2024-01-08 15:00:15,2024-07-15 09:55:00
TROW,9,18.125,16.5,37.0,38,38.0,76.0,2024-01-08 15:00:15,2024-06-06 10:00:58
TSLA,33,5.4375,4.0,19.0,4,32.0,4.0,2024-01-05 15:00:42,2024-07-11 09:55:00
UAA,3,93.5,93.5,118.0,0,,0.0,2024-01-08 15:00:15,2024-07-15 09:55:00
ULTA,6,11.6,10.0,21.0,16,16.0,,2024-04-30 09:55:00,2024-06-28 10:01:02
V,13,13.916666666666666,11.5,34.0,19,19.0,,2024-01-02 15:00:05,2024-06-25 10:00:25
WMT,10,12.11111111111111,8.0,29.0,26,45.0,106.0,2024-02-26 13:00:20,2024-06-18 10:00:20
XYZ,2,35.0,35.0,35.0,56,,56.0,2024-04-13 12:00:01,2024-05-19 11:30:33
