ticker,total,pos,neg,neu,pos_pct,neg_pct,neu_pct
AAPL,62,38,6,18,0.6129032258064516,0.0967741935483871,0.2903225806451613
ABBV,2,1,0,1,0.5,0.0,0.5
ABNB,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0
ADBE,16,16,0,0,1.0,0.0,0.0
ADI,1,0,1,0,0.0,1.0,0.0
AMAT,1,0,0,1,0.0,0.0,1.0
AMGN,1,1,0,0,1.0,0.0,0.0
AMP,1,1,0,0,1.0,0.0,0.0
ANET,1,1,0,0,1.0,0.0,0.0
AVGO,5,2,2,1,0.4,0.4,0.2
AXP,12,10,1,1,0.8333333333333334,0.08333333333333333,0.08333333333333333
AZO,3,3,0,0,1.0,0.0,0.0
BA,12,2,7,3,0.16666666666666666,0.5833333333333334,0.25
BAC,8,2,2,4,0.25,0.25,0.5
BIIB,1,0,1,0,0.0,1.0,0.0
BLK,3,1,0,2,0.3333333333333333,0.0,0.6666666666666666
BMY,2,1,0,1,0.5,0.0,0.5
BRK-B,41,27,0,14,0.6585365853658537,0.0,0.34146341463414637
C,1,1,0,0,1.0,0.0,0.0
CEG,1,1,0,0,1.0,0.0,0.0
CHTR,1,0,1,0,0.0,1.0,0.0
CLX,1,0,0,1,0.0,0.0,1.0
CMCSA,1,0,0,1,0.0,0.0,1.0
CME,4,0,0,4,0.0,0.0,1.0
COP,1,0,1,0,0.0,1.0,0.0
CRM,2,2,0,0,1.0,0.0,0.0
CRWD,2,1,1,0,0.5,0.5,0.0
CSCO,2,1,0,1,0.5,0.0,0.5
CTAS,5,4,1,0,0.8,0.2,0.0
CVX,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666
DASH,2,1,0,1,0.5,0.0,0.5
DG,8,5,1,2,0.625,0.125,0.25
DLTR,4,0,0,4,0.0,0.0,1.0
EBAY,7,2,0,5,0.2857142857142857,0.0,0.7142857142857143
EIX,1,0,0,1,0.0,0.0,1.0
EPAM,1,0,1,0,0.0,1.0,0.0
