ticker,n_signals,flips,has_flip,first_flip_gap_days
AAPL,85,4,True,62.0
ABNB,10,3,True,14.0
ADBE,11,3,True,45.0
AVGO,11,0,False,
BAC,17,2,True,292.0
BLK,2,0,False,
BRK-B,8,1,True,125.0
CAT,4,0,False,
CRM,2,1,True,255.0
CVX,3,0,False,
DAL,2,0,False,
GOOG,6,0,False,
GS,70,6,True,6.0
HD,2,0,False,
INTC,6,1,True,62.0
JNJ,6,0,False,
JPM,2,0,False,
KHC,12,0,False,
KO,5,2,True,232.0
MCD,8,0,False,
META,2,0,False,
MS,3,0,False,
MSFT,38,0,False,
NFLX,7,2,True,20.0
NKE,5,1,True,47.0
NVDA,105,14,True,9.0
PG,4,0,False,
PLTR,6,1,True,141.0
PYPL,16,1,True,61.0
SBUX,26,5,True,137.0
SCHW,4,0,False,
SLB,2,0,False,
TGT,16,0,False,
TSLA,99,18,True,2.0
WMT,22,0,False,
XOM,8,0,False,
