ticker,n_signals,flips,has_flip,first_flip_gap_days
AAPL,34,8,True,112.0
ABBV,4,0,False,
ADBE,3,0,False,
AMD,10,0,False,
AVGO,11,0,False,
BA,2,0,False,
BAC,6,0,False,
BIIB,2,0,False,
BKNG,2,0,False,
BRK-B,2,0,False,
CAT,2,0,False,
CB,2,0,False,
CF,2,0,False,
CRM,2,0,False,
CRWD,2,0,False,
CTAS,4,0,False,
CVX,2,0,False,
DAL,2,0,False,
DPZ,2,0,False,
DRI,2,0,False,
ENPH,2,0,False,
FI,2,1,True,170.0
GD,3,0,False,
GILD,2,0,False,
GOOG,7,0,False,
HD,9,1,True,21.0
HSY,2,0,False,
INTC,4,0,False,
ISRG,3,0,False,
IT,2,0,False,
IVZ,2,0,False,
JNJ,3,0,False,
KO,4,0,False,
LMT,5,0,False,
LOW,6,0,False,
LUV,2,0,False,
MCD,10,2,True,32.0
META,11,0,False,
MSFT,48,4,True,203.0
MU,4,0,False,
NFLX,4,0,False,
NVDA,91,15,True,11.0
ORCL,21,0,False,
OXY,3,0,False,
PANW,7,2,True,22.0
PEP,6,0,False,
PFE,2,0,False,
PLTR,6,0,False,
PYPL,2,0,False,
QCOM,3,1,True,209.0
ROST,2,0,False,
SBUX,6,2,True,120.0
SMCI,5,1,True,160.0
T,2,0,False,
TSLA,31,8,True,63.0
TT,2,0,False,
UAL,2,0,False,
UNH,3,0,False,
V,2,0,False,
WMT,8,0,False,
WSM,3,0,False,
