ticker,n_signals,mean_gap_days,median_gap_days,max_gap_days,tail_silence_days,tail_silence_pos_days,tail_silence_neg_days,first_date,last_date
AAPL,34,8.969696969696969,7.0,27.0,53,60.0,151.0,2024-01-02 14:15:39,2024-11-08 17:00:52
ABBV,4,45.333333333333336,46.0,86.0,168,168.0,,2024-03-01 14:56:09,2024-07-16 14:01:00
ADBE,3,49.5,49.5,89.0,207,217.0,,2024-02-28 21:52:49,2024-06-07 18:51:27
AMD,10,36.22222222222222,46.0,84.0,13,13.0,,2024-01-23 18:00:27,2024-12-18 22:30:00
AVGO,11,25.9,4.5,82.0,14,14.0,,2024-03-28 16:27:47,2024-12-17 21:15:15
BA,2,84.0,84.0,84.0,229,229.0,,2024-02-21 15:42:39,2024-05-16 13:02:40
BAC,6,63.6,59.0,188.0,42,166.0,,2024-01-04 13:30:01,2024-11-19 01:18:48
BIIB,2,204.0,204.0,204.0,110,110.0,,2024-02-21 15:42:39,2024-09-12 19:07:24
BKNG,2,10.0,10.0,10.0,278,278.0,,2024-03-18 13:00:25,2024-03-28 16:27:47
BRK-B,2,73.0,73.0,73.0,270,270.0,,2024-01-22 13:30:14,2024-04-05 12:57:15
CAT,2,5.0,5.0,5.0,55,55.0,,2024-10-31 21:24:45,2024-11-06 19:01:01
CB,2,5.0,5.0,5.0,93,93.0,,2024-09-23 21:37:14,2024-09-29 21:00:25
CF,2,8.0,8.0,8.0,74,74.0,,2024-10-10 00:05:05,2024-10-18 16:30:07
CRM,2,333.0,333.0,333.0,22,355.0,,2024-01-11 14:24:34,2024-12-09 23:27:13
CRWD,2,48.0,48.0,48.0,307,307.0,,2024-01-11 14:24:34,2024-02-28 21:52:49
CTAS,4,16.666666666666668,2.0,46.0,111,111.0,,2024-07-22 04:00:35,2024-09-11 19:00:32
CVX,2,91.0,91.0,91.0,217,217.0,,2024-02-26 13:53:45,2024-05-28 03:41:46
DAL,2,175.0,175.0,175.0,89,89.0,,2024-04-11 16:35:44,2024-10-03 22:11:12
DPZ,2,6.0,6.0,6.0,158,158.0,,2024-07-19 20:07:33,2024-07-26 12:33:04
DRI,2,4.0,4.0,4.0,160,160.0,,2024-07-19 20:07:33,2024-07-24 19:27:04
ENPH,2,0.0,0.0,0.0,172,172.0,,2024-07-11 22:55:19,2024-07-12 19:43:55
FI,2,170.0,170.0,170.0,186,357.0,186.0,2024-01-09 13:49:24,2024-06-28 13:00:59
