ticker,n_signals,flips,has_flip,first_flip_gap_days
AAPL,62,8,True,29.0
ABBV,2,0,False,
ABNB,3,1,True,193.0
ADBE,16,0,False,
AVGO,5,2,True,86.0
AXP,12,1,True,289.0
AZO,3,0,False,
BA,12,3,True,68.0
BAC,8,1,True,263.0
BLK,3,0,False,
BMY,2,0,False,
BRK-B,41,0,False,
CME,4,0,False,
CRM,2,0,False,
CRWD,2,1,True,42.0
CSCO,2,0,False,
CTAS,5,2,True,46.0
CVX,3,0,False,
DASH,2,0,False,
DG,8,2,True,38.0
DLTR,4,0,False,
EBAY,7,0,False,
FDX,3,0,False,
FTNT,2,0,False,
GD,2,0,False,
GNRC,8,2,True,84.0
GOOG,4,0,False,
GS,2,0,False,
HD,16,5,True,140.0
HPQ,2,0,False,
HSY,5,0,False,
HUM,2,0,False,
INTC,36,20,True,4.0
IVZ,2,0,False,
JNJ,11,0,False,
KO,23,0,False,
KR,8,2,True,151.0
LMT,4,1,True,218.0
LOW,9,3,True,140.0
LUV,18,0,False,
MA,8,0,False,
MCD,8,0,False,
META,2,0,False,
MMM,8,2,True,9.0
MNST,3,0,False,
MSFT,84,12,True,15.0
MTCH,2,0,False,
NFLX,8,3,True,7.0
NKE,34,1,True,6.0
NVDA,70,27,True,1.0
NVR,4,0,False,
ON,5,1,True,113.0
ORCL,5,0,False,
OXY,3,2,True,129.0
PANW,3,0,False,
PAYC,3,0,False,
PEP,11,2,True,141.0
PFE,6,1,True,0.0
PG,4,0,False,
POOL,3,0,False,
PYPL,26,0,False,
QCOM,2,0,False,
SBUX,29,2,True,22.0
SCHW,4,0,False,
SHW,5,2,True,46.0
SMCI,2,0,False,
T,4,1,True,11.0
TGT,25,11,True,4.0
TMUS,2,0,False,
TROW,9,6,True,13.0
TSLA,52,13,True,13.0
UAA,4,0,False,
ULTA,13,2,True,200.0
V,16,0,False,
WMT,18,4,True,33.0
XYZ,3,0,False,
