scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,kol,split
Adam_Khoo::test,306,2127,2433,0.12577065351418001,0.87422934648582,6.950980392156863,Adam_Khoo,test
Adam_Khoo::train,797,8974,9771,0.0815679050250742,0.9184320949749258,11.259723964868256,Adam_Khoo,train
Adam_Khoo::val,364,2923,3287,0.11073927593550349,0.8892607240644965,8.030219780219781,Adam_Khoo,val
Ale_s_World_of_Stocks::test,639,6847,7486,0.08535933742986909,0.9146406625701309,10.715179968701095,Ale_s_World_of_Stocks,test
Ale_s_World_of_Stocks::train,1309,26470,27779,0.04712192663522805,0.9528780733647719,20.221543162719634,Ale_s_World_of_Stocks,train
Ale_s_World_of_Stocks::val,598,5726,6324,0.09456040480708412,0.9054395951929158,9.575250836120402,Ale_s_World_of_Stocks,val
Cameron_Stewart_CFA::test,94,1283,1377,0.0682643427741467,0.9317356572258533,13.648936170212766,Cameron_Stewart_CFA,test
Cameron_Stewart_CFA::train,195,6057,6252,0.031190019193857964,0.968809980806142,31.06153846153846,Cameron_Stewart_CFA,train
Cameron_Stewart_CFA::val,54,669,723,0.07468879668049792,0.9253112033195021,12.38888888888889,Cameron_Stewart_CFA,val
Daniel_Pronk::test,211,865,1076,0.19609665427509293,0.8039033457249071,4.099526066350711,Daniel_Pronk,test
Daniel_Pronk::train,356,7605,7961,0.04471800025122472,0.9552819997487753,21.3623595505618,Daniel_Pronk,train
Daniel_Pronk::val,98,770,868,0.11290322580645161,0.8870967741935484,7.857142857142857,Daniel_Pronk,val
Dividend_Data::test,393,4555,4948,0.07942603071948262,0.9205739692805174,11.59033078880407,Dividend_Data,test
Dividend_Data::train,1023,15499,16522,0.061917443408788284,0.9380825565912118,15.150537634408602,Dividend_Data,train
Dividend_Data::val,390,4364,4754,0.08203618005889778,0.9179638199411022,11.189743589743589,Dividend_Data,val
EliteOptions2::test,1084,5482,6566,0.1650929028327749,0.8349070971672251,5.057195571955719,EliteOptions2,test
EliteOptions2::train,2294,38049,40343,0.056862404878169695,0.9431375951218303,16.586312118570184,EliteOptions2,train
EliteOptions2::val,978,4570,5548,0.17627974044700792,0.8237202595529921,4.67280163599182,EliteOptions2,val
Everything_Money::test,22,40,62,0.3548387096774194,0.6451612903225806,1.8181818181818181,Everything_Money,test
Everything_Money::train,39,184,223,0.17488789237668162,0.8251121076233184,4.717948717948718,Everything_Money,train
Everything_Money::val,43,35,78,0.5512820512820513,0.44871794871794873,0.813953488372093,Everything_Money,val
Financial_Education::test,410,1851,2261,0.18133569217160547,0.8186643078283945,4.514634146341463,Financial_Education,test
Financial_Education::train,966,9835,10801,0.08943616331821128,0.9105638366817888,10.181159420289855,Financial_Education,train
Financial_Education::val,383,1999,2382,0.16078925272879932,0.8392107472712007,5.219321148825065,Financial_Education,val
Humbled_Trader::test,24,113,137,0.17518248175182483,0.8248175182481752,4.708333333333333,Humbled_Trader,test
Humbled_Trader::train,49,315,364,0.1346153846153846,0.8653846153846154,6.428571428571429,Humbled_Trader,train
Humbled_Trader::val,16,51,67,0.23880597014925373,0.7611940298507462,3.1875,Humbled_Trader,val
Invest_with_Henry::test,356,1464,1820,0.1956043956043956,0.8043956043956044,4.112359550561798,Invest_with_Henry,test
Invest_with_Henry::train,881,6924,7805,0.11287636130685458,0.8871236386931454,7.859250851305335,Invest_with_Henry,train
Invest_with_Henry::val,421,3267,3688,0.11415401301518438,0.8858459869848156,7.760095011876484,Invest_with_Henry,val
Investing_with_Tom::test,78,498,576,0.13541666666666666,0.8645833333333334,6.384615384615385,Investing_with_Tom,test
Investing_with_Tom::train,194,2931,3125,0.06208,0.93792,15.108247422680412,Investing_with_Tom,train
Investing_with_Tom::val,66,427,493,0.13387423935091278,0.8661257606490872,6.46969696969697,Investing_with_Tom,val
