source,method,UER,DRR,BD,CG
x,AWAC,0.18751788757866333,0.1937403300562518,0.026215418800711578,0.1676525890827179
x,BC,0.21580481718134564,0.19300663935292403,0.02411493007093663,0.155281263589859
x,CQL,0.8437868661147873,0.3796185155537993,0.10166937038302418,0.26960641145706177
x,IQL,0.19023963224825158,0.20774735443470776,0.026583825936540913,0.1578759253025055
x,KICL,0.0,0.0,0.0070036854362114905,0.17258573770523072
x,TD3BC,0.7914811941292987,0.37095014658026526,0.1794508151710033,0.5439344227313996
youtube,AWAC,0.26975777691929653,0.1821161827486064,0.035007051238790096,0.18187467455863954
youtube,BC,0.274163313134688,0.23907643987738342,0.037721908790990674,0.17042497396469117
youtube,CQL,0.9227503215379379,0.3305942380400607,0.23735022693872448,0.6356491029262543
youtube,IQL,0.2530528346954024,0.19221385618871983,0.03086263062432403,0.17565374970436096
youtube,KICL,0.0,0.0,0.00838462612591679,0.15239365100860597
youtube,TD3BC,0.934869653523962,0.5036986541024728,0.20550338625907894,0.43915092051029203
