source,method,UER,DRR,BD,CG,UER_scaled,DRR_scaled,BD_scaled,CG_scaled,dominant_form
x,AWAC,0.18751788757866333,0.1937403300562518,0.026215418800711578,0.1676525890827179,0.22223371221940036,0.510355322826173,0.14608693070427253,0.30822206147726466,DRR
x,BC,0.21580481718134564,0.19300663935292403,0.02411493007093663,0.155281263589859,0.25575749735832926,0.5084226175621597,0.13438183631518694,0.2854779125948763,DRR
x,CQL,0.8437868661147873,0.3796185155537993,0.10166937038302418,0.26960641145706177,1.0,1.0,0.566558420401383,0.49565977108640574,UER
x,IQL,0.19023963224825158,0.20774735443470776,0.026583825936540913,0.1578759253025055,0.22545934274162038,0.5472529550663235,0.14813990068091082,0.2902480863588702,DRR
x,KICL,0.0,0.0,0.0070036854362114905,0.17258573770523072,0.0,0.0,0.039028440353071105,0.31729144266799847,CG
x,TD3BC,0.7914811941292987,0.37095014658026526,0.1794508151710033,0.5439344227313996,0.9380108009664457,0.9771655790790701,1.0,1.0,BD
youtube,AWAC,0.26975777691929653,0.1821161827486064,0.035007051238790096,0.18187467455863954,0.28855121770447145,0.36155781093581507,0.14749112183418173,0.28612433136673515,DRR
youtube,BC,0.274163313134688,0.23907643987738342,0.037721908790990674,0.17042497396469117,0.2932636780980514,0.47464180801393513,0.15892931419327924,0.2681117194693237,DRR
youtube,CQL,0.9227503215379379,0.3305942380400607,0.23735022693872448,0.6356491029262543,0.9870363403707237,0.6563333758140326,1.0,1.0,BD
youtube,IQL,0.2530528346954024,0.19221385618871983,0.03086263062432403,0.17565374970436096,0.27068247829152187,0.38160486358896584,0.13002991832947217,0.2763376033974198,DRR
youtube,KICL,0.0,0.0,0.00838462612591679,0.15239365100860597,0.0,0.0,0.03532596633278723,0.23974493208131864,CG
youtube,TD3BC,0.934869653523962,0.5036986541024728,0.20550338625907894,0.43915092051029203,1.0,1.0,0.8658234243531299,0.690870038970606,UER
